year,sex,profession,income
0,F,service provider,5869.60
0,M,civil servant,4784.20
0,M,homemaker,249.17
0,F,child,0.00
0,M,craftsman,3287.82
0,M,civil servant,3818.51
0,F,craftsman,2930.53
0,F,civil servant,6904.99
0,M,fisher,3328.51
0,F,unemployed,102.37
0,F,craftsman,4105.77
0,M,homemaker,192.63
0,M,civil servant,5813.00
0,M,farmer,3051.06
0,M,child,0.00
0,M,child,0.00
0,F,fisher,2144.09
0,F,child,0.00
0,X,child,0.00
0,M,child,0.00
0,M,child,0.00
0,M,fisher,1640.77
0,F,craftsman,3778.80
0,M,craftsman,2058.11
0,M,child,0.00
0,M,farmer,2260.05
0,M,civil servant,5837.83
0,M,farmer,1676.21
0,M,homemaker,219.31
0,F,homemaker,282.24
0,M,homemaker,238.68
0,F,unemployed,193.53
0,F,farmer,2328.41
0,M,craftsman,6111.66
0,X,service provider,3657.36
0,F,farmer,1949.93
0,X,craftsman,4167.74
0,F,fisher,2993.89
0,F,farmer,2642.24
0,M,child,0.00
0,F,child,0.00
0,M,fisher,1132.64
0,M,fisher,2567.97
0,M,farmer,1937.41
0,M,civil servant,2690.83
0,X,child,0.00
0,M,fisher,2270.85
0,F,homemaker,219.35
0,M,farmer,3207.95
0,M,farmer,1828.12
0,F,service provider,4174.82
0,X,child,0.00
0,F,child,0.00
0,F,farmer,1641.44
0,M,homemaker,109.13
0,M,child,0.00
0,X,child,0.00
0,F,craftsman,5811.20
0,F,service provider,6413.70
0,F,craftsman,3685.20
0,M,craftsman,6029.73
0,F,fisher,3390.55
0,F,unemployed,213.55
0,F,child,0.00
0,M,child,0.00
0,X,service provider,5784.05
0,M,unemployed,154.46
0,M,farmer,2154.59
0,F,farmer,2949.24
0,F,child,0.00
0,M,fisher,2071.53
0,M,craftsman,4198.09
0,F,homemaker,161.12
0,M,child,0.00
0,F,civil servant,2947.68
0,F,craftsman,2430.06
0,M,service provider,5486.32
0,F,homemaker,258.96
0,F,craftsman,2363.21
0,F,homemaker,222.83
0,M,homemaker,98.33
0,F,homemaker,295.91
0,M,farmer,2561.04
0,M,craftsman,3777.36
0,F,service provider,3993.40
0,M,farmer,1147.94
0,M,service provider,3078.39
0,F,fisher,3199.62
0,M,service provider,3395.40
0,M,homemaker,165.54
0,X,craftsman,6027.12
0,X,unemployed,210.52
0,M,civil servant,4504.19
0,M,farmer,1515.09
0,M,child,0.00
0,F,unemployed,119.83
0,F,farmer,2559.65
0,F,homemaker,190.89
0,M,farmer,2490.24
0,M,child,0.00
0,F,unemployed,172.56
0,F,homemaker,278.65
0,F,farmer,1505.14
0,X,service provider,5856.16
0,F,child,0.00
0,M,service provider,7555.60
0,F,fisher,2153.74
0,M,child,0.00
0,F,child,0.00
0,F,farmer,1974.29
0,M,farmer,1871.23
0,M,child,0.00
0,M,craftsman,6157.18
0,F,craftsman,5799.87
0,M,civil servant,3710.63
0,F,child,0.00
0,F,service provider,6349.89
0,M,farmer,1713.33
0,F,civil servant,5945.59
0,M,fisher,1816.39
0,F,child,0.00
0,F,unemployed,251.10
0,F,homemaker,281.36
0,M,child,0.00
0,M,fisher,1863.49
0,M,farmer,1364.26
0,M,homemaker,283.62
0,F,service provider,4259.28
0,F,homemaker,270.07
0,M,farmer,2931.94
0,F,child,0.00
0,F,homemaker,234.59
0,M,craftsman,2905.42
0,M,civil servant,7584.88
0,M,unemployed,166.15
0,F,service provider,6466.25
0,F,homemaker,96.68
0,F,homemaker,107.33
0,F,civil servant,4653.59
0,F,fisher,3324.86
0,M,craftsman,3257.89
0,M,child,0.00
0,M,unemployed,179.53
0,F,homemaker,117.51
0,F,homemaker,174.78
0,F,service provider,4283.13
0,F,homemaker,139.96
0,M,service provider,2919.09
0,M,child,0.00
0,M,farmer,2469.06
0,F,civil servant,4781.22
0,F,child,0.00
0,M,civil servant,6302.74
0,F,child,0.00
0,M,homemaker,225.67
0,F,farmer,2444.80
0,F,civil servant,6190.85
0,X,fisher,1457.24
0,F,unemployed,196.25
0,F,fisher,2739.87
0,M,fisher,3165.73
0,F,farmer,1776.00
0,M,child,0.00
0,F,fisher,1784.59
0,F,civil servant,4868.84
0,F,craftsman,5486.51
0,F,homemaker,261.38
0,M,unemployed,135.52
0,F,homemaker,168.95
0,M,homemaker,139.64
0,F,fisher,2417.73
0,F,fisher,1441.25
0,M,farmer,2329.57
0,F,child,0.00
0,M,farmer,1581.47
0,M,civil servant,7701.95
0,F,service provider,3095.50
0,M,farmer,2436.20
0,M,farmer,2314.51
0,M,unemployed,247.33
0,M,craftsman,5188.13
0,F,farmer,2732.49
0,X,homemaker,121.66
0,M,homemaker,108.80
0,F,civil servant,5877.48
0,M,civil servant,5889.49
0,X,civil servant,6734.10
0,F,child,0.00
0,F,child,0.00
0,M,farmer,2148.96
0,X,craftsman,5709.67
0,M,service provider,7739.34
0,X,fisher,2627.02
0,M,unemployed,138.65
0,M,child,0.00
0,M,farmer,2216.65
0,F,fisher,2978.86
0,M,craftsman,3039.64
0,F,homemaker,222.59
0,F,farmer,3049.50
0,M,child,0.00
0,F,farmer,2537.17
0,M,unemployed,103.00
0,F,homemaker,126.19
0,M,child,0.00
0,F,craftsman,3373.11
0,F,fisher,1847.26
0,F,civil servant,6045.64
0,F,child,0.00
0,F,child,0.00
0,M,farmer,2878.68
0,M,unemployed,192.34
0,F,child,0.00
0,M,homemaker,282.27
0,M,child,0.00
0,F,unemployed,147.78
0,F,child,0.00
0,M,child,0.00
0,M,child,0.00
0,M,homemaker,253.44
0,M,fisher,2852.07
0,M,fisher,2323.55
0,M,child,0.00
0,M,homemaker,136.03
0,F,farmer,1250.09
0,F,craftsman,4030.33
0,F,farmer,2260.95
0,F,craftsman,2897.14
0,M,child,0.00
0,F,fisher,2658.82
0,M,child,0.00
0,M,service provider,3230.83
0,M,unemployed,161.93
0,F,child,0.00
0,F,civil servant,4889.89
0,M,fisher,2002.00
0,M,civil servant,7330.19
0,M,service provider,2826.86
0,M,farmer,3146.90
0,F,civil servant,5497.84
0,F,child,0.00
0,M,service provider,4631.45
0,M,civil servant,5614.75
0,F,fisher,2557.52
0,F,child,0.00
0,M,craftsman,3936.15
0,F,homemaker,152.82
0,F,fisher,2872.01
0,F,homemaker,97.40
0,M,fisher,2733.19
0,M,service provider,4868.83
0,M,unemployed,121.66
0,M,craftsman,4085.40
0,M,unemployed,198.57
0,F,homemaker,203.05
0,M,craftsman,4826.93
0,M,farmer,2273.24
0,F,unemployed,253.21
0,M,craftsman,4258.82
0,F,civil servant,6711.98
0,F,unemployed,200.86
0,M,fisher,1234.04
0,F,service provider,3647.30
0,M,service provider,4828.62
0,F,homemaker,233.57
0,F,child,0.00
0,M,unemployed,103.18
0,M,unemployed,233.89
0,M,child,0.00
0,F,child,0.00
0,F,farmer,1806.57
0,M,homemaker,284.88
0,M,fisher,1940.01
0,F,unemployed,274.21
0,M,unemployed,245.35
0,F,child,0.00
0,F,farmer,2859.10
0,X,craftsman,3239.47
0,F,unemployed,249.08
0,F,unemployed,231.32
0,F,unemployed,112.17
0,F,child,0.00
0,F,homemaker,290.64
0,F,child,0.00
0,F,fisher,3253.75
0,F,service provider,6836.26
0,F,fisher,2354.73
0,F,unemployed,281.41
0,M,fisher,3226.46
0,M,unemployed,247.96
0,M,service provider,3228.76
0,F,craftsman,4956.38
0,F,child,0.00
0,F,unemployed,161.47
0,F,homemaker,139.54
0,M,craftsman,4250.94
0,M,farmer,2238.41
0,M,farmer,1943.56
0,M,farmer,2637.67
0,M,craftsman,5756.78
0,F,child,0.00
0,M,child,0.00
0,M,child,0.00
0,F,farmer,2910.57
0,F,farmer,1953.19
0,M,homemaker,271.94
0,M,child,0.00
0,F,child,0.00
0,M,homemaker,237.14
0,M,service provider,7031.92
0,M,homemaker,100.01
0,F,farmer,1488.92
0,F,child,0.00
0,F,homemaker,278.01
0,F,homemaker,103.06
0,F,homemaker,156.25
0,M,child,0.00
0,M,service provider,6837.31
0,M,child,0.00
0,F,fisher,1547.83
0,F,civil servant,5581.21
0,F,farmer,2605.73
0,M,farmer,3261.61
0,F,farmer,1532.22
0,F,farmer,2421.51
0,F,child,0.00
0,M,craftsman,2781.32
0,M,child,0.00
0,M,craftsman,3143.90
0,M,homemaker,131.38
0,M,unemployed,282.78
0,F,child,0.00
0,M,farmer,1320.54
0,M,homemaker,141.62
0,M,fisher,3088.21
0,M,civil servant,6683.06
1,F,civil servant,4927.02
1,M,child,0.00
1,M,unemployed,130.71
1,M,farmer,1938.95
1,F,child,0.00
1,F,civil servant,5321.03
1,F,child,0.00
1,M,homemaker,156.78
1,M,child,0.00
1,M,fisher,1384.19
1,M,child,0.00
1,F,fisher,1236.64
1,M,homemaker,231.56
1,M,farmer,1491.74
1,F,craftsman,4788.50
1,F,service provider,6774.07
1,M,child,0.00
1,F,child,0.00
1,F,child,0.00
1,M,civil servant,4731.11
1,F,retired,294.89
1,F,unemployed,119.27
1,M,craftsman,4470.77
1,M,homemaker,249.07
1,F,service provider,5620.42
1,M,service provider,5916.99
1,M,farmer,3102.91
1,M,child,0.00
1,F,child,0.00
1,F,child,0.00
1,F,child,0.00
1,F,civil servant,5721.55
1,F,farmer,1929.85
1,X,child,0.00
1,M,fisher,2365.84
1,F,homemaker,247.14
1,F,child,0.00
1,F,craftsman,4256.54
1,F,farmer,2497.86
1,F,child,0.00
1,F,service provider,6711.32
1,M,farmer,3203.50
1,M,child,0.00
1,M,child,0.00
1,M,craftsman,2386.05
1,M,craftsman,4396.53
1,M,unemployed,287.88
1,M,farmer,1521.13
1,F,unemployed,221.01
1,M,child,0.00
1,M,craftsman,4338.52
1,M,farmer,2190.49
1,M,child,0.00
1,F,homemaker,242.64
1,F,craftsman,5520.82
1,F,homemaker,197.14
1,M,child,0.00
1,F,craftsman,6241.75
1,M,fisher,2764.49
1,M,civil servant,3141.09
1,X,homemaker,145.52
1,F,farmer,1418.87
1,F,farmer,1764.52
1,F,fisher,1359.77
1,F,service provider,7021.29
1,F,homemaker,260.68
1,M,child,0.00
1,M,homemaker,288.84
1,M,homemaker,202.11
1,M,unemployed,256.57
1,M,civil servant,5550.88
1,F,homemaker,149.14
1,F,service provider,6046.55
1,M,fisher,3299.07
1,F,fisher,1153.98
1,M,craftsman,5216.80
1,F,farmer,1876.94
1,M,homemaker,159.68
1,M,fisher,1682.78
1,M,service provider,6032.62
1,F,service provider,2675.59
1,M,farmer,2838.29
1,F,homemaker,263.21
1,F,child,0.00
1,M,service provider,7051.46
1,M,child,0.00
1,X,civil servant,4094.10
1,F,fisher,2041.40
1,M,farmer,1466.06
1,M,child,0.00
1,M,unemployed,265.83
1,F,child,0.00
1,F,child,0.00
1,M,homemaker,241.13
1,M,service provider,3199.54
1,M,homemaker,257.90
1,X,homemaker,229.75
1,F,civil servant,2573.90
1,X,child,0.00
1,F,fisher,3239.41
1,M,child,0.00
1,F,unemployed,233.81
1,F,civil servant,4120.08
1,F,craftsman,4716.83
1,M,civil servant,5452.44
1,F,craftsman,4249.21
1,M,homemaker,159.87
1,M,homemaker,246.65
1,M,child,0.00
1,F,child,0.00
1,F,civil servant,5629.27
1,M,fisher,1187.15
1,F,unemployed,183.09
1,M,craftsman,3350.53
1,F,unemployed,173.87
1,F,fisher,1568.16
1,M,farmer,2511.51
1,F,farmer,1226.03
1,F,farmer,2315.31
1,M,craftsman,2196.96
1,F,child,0.00
1,F,child,0.00
1,F,child,0.00
1,F,child,0.00
1,M,farmer,1822.96
1,M,homemaker,246.58
1,M,child,0.00
1,F,child,0.00
1,F,farmer,1692.42
1,F,unemployed,223.38
1,M,homemaker,294.42
1,M,homemaker,167.29
1,F,fisher,1144.85
1,F,child,0.00
1,M,child,0.00
1,F,child,0.00
1,M,child,0.00
1,F,child,0.00
1,F,civil servant,4470.17
1,M,craftsman,2141.32
1,M,service provider,7550.11
1,F,fisher,1903.75
1,M,farmer,2485.41
1,F,child,0.00
1,M,service provider,6648.73
1,M,service provider,4293.81
1,F,farmer,2968.82
1,F,unemployed,188.39
1,M,fisher,1651.17
1,M,civil servant,4001.73
1,X,child,0.00
1,F,child,0.00
1,M,homemaker,279.88
1,F,civil servant,4013.87
1,M,homemaker,244.59
1,M,service provider,3617.26
1,M,child,0.00
1,F,homemaker,206.94
1,M,child,0.00
1,M,child,0.00
1,M,fisher,1936.02
1,F,fisher,1182.28
1,M,retired,290.53
1,F,child,0.00
1,F,service provider,6226.69
1,M,civil servant,4999.88
1,M,homemaker,233.16
1,F,child,0.00
1,M,craftsman,3570.06
1,M,civil servant,3808.78
1,F,craftsman,3111.40
1,F,civil servant,6728.62
1,M,retired,306.14
1,F,unemployed,105.32
1,F,craftsman,4260.17
1,M,homemaker,199.59
1,M,civil servant,5766.02
1,M,farmer,3033.75
1,M,child,0.00
1,M,child,0.00
1,F,fisher,2354.66
1,F,child,0.00
1,X,child,0.00
1,M,child,0.00
1,M,child,0.00
1,M,fisher,1609.68
1,F,craftsman,3907.40
1,M,craftsman,2180.07
1,M,child,0.00
1,M,farmer,2353.35
1,M,civil servant,5904.50
1,M,farmer,1666.31
1,M,homemaker,217.88
1,F,homemaker,285.72
1,M,homemaker,247.40
1,F,unemployed,199.59
1,F,farmer,2235.69
1,M,craftsman,6147.88
1,X,service provider,3749.88
1,F,farmer,2003.50
1,X,craftsman,4423.32
1,F,fisher,3003.85
1,F,farmer,2816.99
1,M,child,0.00
1,F,child,0.00
1,M,fisher,1144.05
1,M,fisher,2457.68
1,M,farmer,1913.34
1,M,civil servant,2657.88
1,X,child,0.00
1,M,fisher,2288.91
1,F,homemaker,223.39
1,M,farmer,3162.99
1,M,farmer,1787.39
1,F,service provider,4105.32
1,X,child,0.00
1,F,child,0.00
1,F,farmer,1596.11
1,M,homemaker,109.22
1,M,child,0.00
1,X,child,0.00
1,F,craftsman,6204.22
1,F,service provider,6823.09
1,F,craftsman,3943.70
1,M,craftsman,6333.45
1,F,retired,301.65
1,F,unemployed,210.42
1,F,farmer,1079.60
1,M,child,0.00
1,X,service provider,6110.34
1,M,unemployed,148.39
1,M,farmer,2238.21
1,F,farmer,2915.60
1,F,child,0.00
1,M,fisher,2007.27
1,M,craftsman,4378.48
1,F,homemaker,166.98
1,M,child,0.00
1,F,civil servant,3154.91
1,F,craftsman,2456.21
1,M,service provider,5577.75
1,F,homemaker,259.49
1,F,craftsman,2540.97
1,F,homemaker,218.90
1,M,homemaker,99.90
1,F,homemaker,273.76
1,M,farmer,2809.78
1,M,craftsman,3631.41
1,F,service provider,3839.23
1,M,farmer,1245.09
1,M,service provider,2941.60
1,F,fisher,3239.31
1,M,service provider,3682.95
1,M,homemaker,172.55
1,X,retired,301.49
1,X,unemployed,198.40
1,M,civil servant,4414.35
1,M,farmer,1563.13
1,M,child,0.00
1,F,unemployed,129.59
1,F,farmer,2563.28
1,F,homemaker,204.26
1,M,farmer,2478.79
1,M,child,0.00
1,F,unemployed,180.46
1,F,homemaker,284.29
1,F,farmer,1693.99
1,X,service provider,5471.33
1,F,child,0.00
1,M,service provider,7943.17
1,F,fisher,2183.32
1,M,child,0.00
1,F,child,0.00
1,F,farmer,1903.26
1,M,farmer,2039.55
1,M,child,0.00
1,M,retired,298.49
1,F,craftsman,5764.56
1,M,civil servant,4052.06
1,F,child,0.00
1,F,service provider,6652.83
1,M,farmer,1891.15
1,F,civil servant,5968.61
1,M,fisher,1800.30
1,F,homemaker,100.88
1,F,unemployed,253.60
1,F,homemaker,301.98
1,M,child,0.00
1,M,fisher,1968.34
1,M,farmer,1379.97
1,M,homemaker,268.67
1,F,service provider,4242.00
1,F,homemaker,262.29
1,M,farmer,2796.62
1,F,farmer,1075.92
1,F,homemaker,245.63
1,M,craftsman,2853.04
1,M,civil servant,7507.58
1,M,unemployed,164.54
1,F,service provider,6429.82
1,F,homemaker,107.99
1,F,homemaker,113.78
1,F,civil servant,5011.68
1,F,retired,287.86
1,M,craftsman,3506.14
1,M,child,0.00
1,M,unemployed,181.64
1,F,homemaker,126.36
1,F,homemaker,185.29
1,F,service provider,4760.02
1,F,homemaker,145.43
1,M,service provider,3039.25
1,M,child,0.00
1,M,farmer,2350.29
1,F,civil servant,4914.51
1,F,child,0.00
1,M,civil servant,6456.40
1,F,child,0.00
1,M,homemaker,237.98
1,F,farmer,2453.12
1,F,civil servant,6465.52
1,X,fisher,1485.88
1,F,unemployed,205.77
1,F,fisher,2761.22
1,M,fisher,3237.57
1,F,farmer,1826.21
1,M,child,0.00
1,F,fisher,1870.63
1,F,civil servant,4723.07
1,F,craftsman,5593.83
1,F,homemaker,260.06
1,M,unemployed,153.21
1,F,homemaker,170.08
1,M,homemaker,157.87
1,F,fisher,2415.00
1,F,fisher,1445.59
1,M,farmer,2332.45
1,F,child,0.00
1,M,farmer,1748.27
1,M,civil servant,7753.74
1,F,service provider,3140.09
1,M,farmer,2450.21
1,M,farmer,2238.03
1,M,unemployed,250.27
1,M,craftsman,5514.66
1,F,farmer,2797.49
1,X,homemaker,128.87
1,M,homemaker,109.52
1,F,civil servant,5674.07
1,M,civil servant,6342.04
1,X,civil servant,6802.70
1,F,child,0.00
1,F,child,0.00
1,M,farmer,2240.73
1,X,craftsman,5891.91
1,M,retired,299.56
1,X,fisher,2511.20
1,M,unemployed,149.49
1,M,child,0.00
1,M,farmer,2123.00
1,F,fisher,2808.39
1,M,craftsman,3170.50
1,F,homemaker,218.26
1,F,farmer,2905.70
1,M,child,0.00
1,F,farmer,2787.75
1,M,unemployed,107.87
1,F,homemaker,123.31
1,M,child,0.00
1,F,craftsman,3784.92
1,F,fisher,1930.14
1,F,civil servant,6481.68
1,F,child,0.00
1,F,child,0.00
1,M,farmer,2817.85
1,M,unemployed,200.84
1,F,child,0.00
1,M,homemaker,269.22
1,M,child,0.00
1,F,unemployed,157.60
1,F,child,0.00
1,M,child,0.00
1,M,child,0.00
1,M,homemaker,243.31
1,M,fisher,3065.82
1,M,fisher,2304.83
1,M,child,0.00
1,M,homemaker,144.93
1,F,farmer,1387.91
1,F,craftsman,3843.59
1,F,farmer,2200.36
1,F,craftsman,2935.39
1,M,child,0.00
1,F,fisher,2888.39
1,M,child,0.00
1,M,service provider,3392.45
1,M,unemployed,162.06
1,F,child,0.00
1,F,civil servant,4910.80
1,M,fisher,1934.58
1,M,retired,299.30
1,M,service provider,2717.65
1,M,farmer,3164.12
1,F,civil servant,5462.54
1,F,fisher,1121.52
1,M,service provider,4851.24
1,M,civil servant,5859.98
1,F,fisher,2531.25
1,F,child,0.00
1,M,craftsman,3916.40
1,F,homemaker,156.80
1,F,fisher,2983.85
1,F,homemaker,106.66
1,M,fisher,2584.48
1,M,service provider,4940.08
1,M,unemployed,125.90
1,M,craftsman,4090.65
1,M,unemployed,203.28
1,F,homemaker,220.33
1,M,craftsman,4519.38
1,M,farmer,2382.12
1,F,unemployed,248.25
1,M,craftsman,4168.00
1,F,civil servant,6785.41
1,F,unemployed,209.48
1,M,fisher,1233.00
1,F,service provider,3901.92
1,M,service provider,4874.41
1,F,homemaker,219.72
1,F,child,0.00
1,M,unemployed,107.55
1,M,unemployed,236.24
1,M,child,0.00
1,F,child,0.00
1,F,farmer,2012.48
1,M,homemaker,283.52
1,M,fisher,1820.00
1,F,unemployed,285.76
1,M,unemployed,255.46
1,F,child,0.00
1,F,farmer,2752.81
1,X,craftsman,3506.30
1,F,unemployed,244.32
1,F,unemployed,223.56
1,F,unemployed,118.57
1,F,child,0.00
1,F,homemaker,279.37
1,F,child,0.00
1,F,fisher,3223.50
1,F,service provider,6872.30
1,F,fisher,2531.20
1,F,unemployed,304.00
1,M,fisher,3267.46
1,M,unemployed,257.60
1,M,service provider,3315.53
1,F,craftsman,5036.38
1,F,child,0.00
1,F,unemployed,172.65
1,F,homemaker,151.21
1,M,craftsman,4533.04
1,M,farmer,2269.65
1,M,farmer,1945.47
1,M,farmer,2895.93
1,M,craftsman,6306.17
1,F,child,0.00
1,M,child,0.00
1,M,child,0.00
1,F,farmer,2970.82
1,F,farmer,1912.32
1,M,homemaker,278.71
1,M,child,0.00
1,F,child,0.00
1,M,homemaker,255.57
1,M,service provider,7267.31
1,M,homemaker,113.69
1,F,farmer,1595.34
1,F,child,0.00
1,F,homemaker,299.70
1,F,homemaker,104.52
1,F,homemaker,169.74
1,M,child,0.00
1,M,service provider,7073.57
1,M,child,0.00
1,F,fisher,1639.34
1,F,civil servant,5576.79
1,F,farmer,2618.09
1,M,farmer,3303.16
1,F,farmer,1610.48
1,F,farmer,2427.77
1,F,child,0.00
1,M,craftsman,2778.66
1,M,child,0.00
1,M,craftsman,3271.37
1,M,homemaker,131.93
1,M,unemployed,274.61
1,F,child,0.00
1,M,farmer,1468.96
1,M,homemaker,146.91
1,M,fisher,3200.20
1,M,civil servant,6804.97
1,M,child,0.00
1,F,child,0.00
1,M,child,0.00
1,F,child,0.00
1,F,child,0.00
1,M,child,0.00
2,F,civil servant,5370.70
2,M,child,0.00
2,M,unemployed,136.90
2,M,farmer,1332.27
2,F,child,0.00
2,F,civil servant,5180.21
2,F,child,0.00
2,M,homemaker,156.31
2,M,child,0.00
2,M,fisher,1514.08
2,M,child,0.00
2,F,fisher,1384.56
2,M,homemaker,222.43
2,M,farmer,905.51
2,F,craftsman,4976.78
2,F,service provider,6853.56
2,M,civil servant,2550.42
2,F,child,0.00
2,F,child,0.00
2,M,civil servant,4854.48
2,F,retired,285.14
2,F,unemployed,122.59
2,M,craftsman,4554.64
2,M,homemaker,229.29
2,F,service provider,5780.49
2,M,service provider,6330.08
2,M,farmer,2136.39
2,M,child,0.00
2,F,child,0.00
2,F,child,0.00
2,F,child,0.00
2,F,civil servant,5767.35
2,F,farmer,1264.92
2,X,child,0.00
2,M,fisher,2385.27
2,F,homemaker,239.64
2,F,child,0.00
2,F,craftsman,4095.03
2,F,farmer,1740.94
2,F,child,0.00
2,F,service provider,6956.74
2,M,farmer,2010.14
2,M,child,0.00
2,M,child,0.00
2,M,craftsman,2543.98
2,M,craftsman,4538.35
2,M,unemployed,275.37
2,M,farmer,995.48
2,F,unemployed,221.81
2,M,child,0.00
2,M,craftsman,4447.22
2,M,farmer,1425.04
2,M,child,0.00
2,F,homemaker,233.79
2,F,craftsman,5650.96
2,F,homemaker,192.12
2,M,child,0.00
2,F,retired,380.24
2,M,fisher,2651.98
2,M,civil servant,3149.83
2,X,homemaker,141.88
2,F,farmer,965.14
2,F,farmer,1154.55
2,F,fisher,1387.14
2,F,service provider,6681.70
2,F,homemaker,259.01
2,M,child,0.00
2,M,homemaker,280.60
2,M,homemaker,198.59
2,M,unemployed,246.91
2,M,civil servant,5659.14
2,F,homemaker,151.23
2,F,service provider,6311.33
2,M,fisher,3311.22
2,F,fisher,1197.55
2,M,craftsman,5505.46
2,F,farmer,1237.81
2,M,homemaker,154.59
2,M,fisher,1656.25
2,M,service provider,6227.57
2,F,service provider,2659.45
2,M,farmer,1812.23
2,F,homemaker,246.83
2,F,child,0.00
2,M,service provider,7226.84
2,M,child,0.00
2,X,civil servant,4345.09
2,F,fisher,2121.06
2,M,farmer,973.16
2,M,child,0.00
2,M,unemployed,270.78
2,F,child,0.00
2,F,child,0.00
2,M,homemaker,252.14
2,M,service provider,3139.03
2,M,homemaker,265.46
2,X,homemaker,211.49
2,F,civil servant,2815.02
2,X,child,0.00
2,F,fisher,3189.50
2,M,child,0.00
2,F,unemployed,221.58
2,F,civil servant,4077.78
2,F,craftsman,4946.37
2,M,civil servant,5788.26
2,F,craftsman,4286.46
2,M,homemaker,159.33
2,M,homemaker,240.46
2,M,child,0.00
2,F,child,0.00
2,F,civil servant,5806.26
2,M,fisher,1243.18
2,F,unemployed,187.34
2,M,craftsman,3270.64
2,F,unemployed,176.72
2,F,fisher,1664.61
2,M,farmer,1633.60
2,F,farmer,810.91
2,F,farmer,1569.28
