year,sex,profession,income,age
0,M,service provider,2919.09,20
0,M,child,0.00,12
0,M,farmer,2469.06,45
0,F,civil servant,4781.22,37
0,F,child,0.00,15
0,M,civil servant,6302.74,50
0,F,child,0.00,2
0,M,homemaker,225.67,48
0,F,farmer,2444.80,45
0,F,civil servant,6190.85,52
0,X,fisher,1457.24,25
0,F,unemployed,196.25,43
0,F,fisher,2739.87,53
0,M,fisher,3165.73,63
0,F,farmer,1776.00,32
0,M,child,0.00,2
0,F,fisher,1784.59,32
0,F,civil servant,4868.84,38
0,F,craftsman,5486.51,56
0,F,homemaker,261.38,56
0,M,unemployed,135.52,28
0,F,homemaker,168.95,34
0,M,homemaker,139.64,29
0,F,fisher,2417.73,46
0,F,fisher,1441.25,26
0,M,farmer,2329.57,42
0,F,child,0.00,10
0,M,farmer,1581.47,30
0,M,civil servant,7701.95,62
0,F,service provider,3095.50,22
0,M,farmer,2436.20,45
0,M,farmer,2314.51,42
0,M,unemployed,247.33,55
0,M,craftsman,5188.13,55
0,F,farmer,2732.49,55
0,X,homemaker,121.66,24
0,M,homemaker,108.80,20
0,F,civil servant,5877.48,46
0,M,civil servant,5889.49,49
0,X,civil servant,6734.10,56
0,F,child,0.00,2
0,F,child,0.00,4
0,M,farmer,2148.96,41
0,X,craftsman,5709.67,59
0,M,service provider,7739.34,64
0,X,fisher,2627.02,48
0,M,unemployed,138.65,28
0,M,child,0.00,6
0,M,farmer,2216.65,41
0,F,fisher,2978.86,56
0,M,craftsman,3039.64,28
0,F,homemaker,222.59,45
0,F,farmer,3049.50,58
0,M,child,0.00,2
0,F,farmer,2537.17,51
0,M,unemployed,103.00,19
0,F,homemaker,126.19,24
0,M,child,0.00,9
0,F,craftsman,3373.11,34
0,F,fisher,1847.26,36
0,F,civil servant,6045.64,51
0,F,child,0.00,11
0,F,child,0.00,5
0,M,farmer,2878.68,56
0,M,unemployed,192.34,40
0,F,child,0.00,15
0,M,homemaker,282.27,59
0,M,child,0.00,9
0,F,unemployed,147.78,29
0,F,child,0.00,16
0,M,child,0.00,16
0,M,child,0.00,0
0,M,homemaker,253.44,52
0,M,fisher,2852.07,58
0,M,fisher,2323.55,44
0,M,child,0.00,10
0,M,homemaker,136.03,28
0,F,farmer,1250.09,22
0,F,craftsman,4030.33,38
0,F,farmer,2260.95,41
0,F,craftsman,2897.14,27
0,M,child,0.00,16
0,F,fisher,2658.82,54
0,M,child,0.00,12
0,M,service provider,3230.83,25
0,M,unemployed,161.93,31
0,F,child,0.00,15
0,F,civil servant,4889.89,37
0,M,fisher,2002.00,37
0,M,civil servant,7330.19,64
0,M,service provider,2826.86,19
0,M,farmer,3146.90,63
0,F,civil servant,5497.84,42
0,F,child,0.00,17
0,M,service provider,4631.45,36
0,M,civil servant,5614.75,44
0,F,fisher,2557.52,48
0,F,child,0.00,3
0,M,craftsman,3936.15,39
0,F,homemaker,152.82,32
0,F,fisher,2872.01,58
0,F,homemaker,97.40,18
0,M,fisher,2733.19,51
0,M,service provider,4868.83,39
0,M,unemployed,121.66,22
0,M,craftsman,4085.40,41
0,M,unemployed,198.57,40
0,F,homemaker,203.05,44
0,M,craftsman,4826.93,46
0,M,farmer,2273.24,42
0,F,unemployed,253.21,54
0,M,craftsman,4258.82,40
0,F,civil servant,6711.98,58
0,F,unemployed,200.86,42
0,M,fisher,1234.04,20
0,F,service provider,3647.30,28
0,M,service provider,4828.62,37
0,F,homemaker,233.57,47
0,F,child,0.00,5
0,M,unemployed,103.18,19
0,M,unemployed,233.89,48
0,M,child,0.00,11
0,F,child,0.00,8
0,F,farmer,1806.57,35
0,M,homemaker,284.88,63
0,M,fisher,1940.01,34
0,F,unemployed,274.21,59
0,M,unemployed,245.35,53
0,F,child,0.00,16
0,F,farmer,2859.10,53
0,X,craftsman,3239.47,31
0,F,unemployed,249.08,52
0,F,unemployed,231.32,48
0,F,unemployed,112.17,22
0,F,child,0.00,7
0,F,homemaker,290.64,62
0,F,child,0.00,9
0,F,fisher,3253.75,62
0,F,service provider,6836.26,55
0,F,fisher,2354.73,47
0,F,unemployed,281.41,63
0,M,fisher,3226.46,62
0,M,unemployed,247.96,52
0,M,service provider,3228.76,23
0,F,craftsman,4956.38,51
0,F,child,0.00,0
0,F,unemployed,161.47,34
0,F,homemaker,139.54,29
0,M,craftsman,4250.94,43
0,M,farmer,2238.41,43
0,M,farmer,1943.56,37
0,M,farmer,2637.67,53
0,M,craftsman,5756.78,61
0,F,child,0.00,7
0,M,child,0.00,15
0,M,child,0.00,1
0,F,farmer,2910.57,57
0,F,farmer,1953.19,36
0,M,homemaker,271.94,59
0,M,child,0.00,14
0,F,child,0.00,4
0,M,homemaker,237.14,53
0,M,service provider,7031.92,59
0,M,homemaker,100.01,19
0,F,farmer,1488.92,26
0,F,child,0.00,9
0,F,homemaker,278.01,61
0,F,homemaker,103.06,19
0,F,homemaker,156.25,32
0,M,child,0.00,6
0,M,service provider,6837.31,57
0,M,child,0.00,8
0,F,fisher,1547.83,29
0,F,civil servant,5581.21,43
0,F,farmer,2605.73,48
0,M,farmer,3261.61,61
0,F,farmer,1532.22,27
0,F,farmer,2421.51,48
0,F,child,0.00,10
0,M,craftsman,2781.32,26
0,M,child,0.00,6
0,M,craftsman,3143.90,31
0,M,homemaker,131.38,26
0,M,unemployed,282.78,61
0,F,child,0.00,2
0,M,farmer,1320.54,24
0,M,homemaker,141.62,28
0,M,fisher,3088.21,61
0,M,civil servant,6683.06,55
1,F,civil servant,4927.02,41
1,M,child,0.00,2
1,M,unemployed,130.71,26
1,M,farmer,1938.95,37
1,F,child,0.00,2
1,F,civil servant,5321.03,42
1,F,child,0.00,9
1,M,homemaker,156.78,31
1,M,child,0.00,4
1,M,fisher,1384.19,25
1,M,child,0.00,14
1,F,fisher,1236.64,22
1,M,homemaker,231.56,50
1,M,farmer,1491.74,25
1,F,craftsman,4788.50,49
1,F,service provider,6774.07,55
1,M,child,0.00,17
1,F,child,0.00,6
1,F,child,0.00,2
1,M,civil servant,4731.11,36
1,F,retired,294.89,65
1,F,unemployed,119.27,23
1,M,craftsman,4470.77,43
1,M,homemaker,249.07,51
1,F,service provider,5620.42,43
1,M,service provider,5916.99,50
1,M,farmer,3102.91,62
1,M,child,0.00,13
1,F,child,0.00,2
1,F,child,0.00,10
1,F,child,0.00,9
1,F,civil servant,5721.55,44
1,F,farmer,1929.85,37
1,X,child,0.00,15
1,M,fisher,2365.84,46
1,F,homemaker,247.14,50
1,F,child,0.00,11
1,F,craftsman,4256.54,40
1,F,farmer,2497.86,49
1,F,child,0.00,8
1,F,service provider,6711.32,54
1,M,farmer,3203.50,63
1,M,child,0.00,8
1,M,child,0.00,2
1,M,craftsman,2386.05,21
1,M,craftsman,4396.53,45
1,M,unemployed,287.88,63
1,M,farmer,1521.13,26
1,F,unemployed,221.01,47
1,M,child,0.00,5
1,M,craftsman,4338.52,45
1,M,farmer,2190.49,41
1,M,child,0.00,7
1,F,homemaker,242.64,51
1,F,craftsman,5520.82,56
1,F,homemaker,197.14,40
1,M,child,0.00,8
1,F,craftsman,6241.75,64
1,M,fisher,2764.49,51
1,M,civil servant,3141.09,23
1,X,homemaker,145.52,28
1,F,farmer,1418.87,25
1,F,farmer,1764.52,33
1,F,fisher,1359.77,23
1,F,service provider,7021.29,56
1,F,homemaker,260.68,54
1,M,child,0.00,7
1,M,homemaker,288.84,63
1,M,homemaker,202.11,42
1,M,unemployed,256.57,54
1,M,civil servant,5550.88,46
1,F,homemaker,149.14,29
1,F,service provider,6046.55,48
1,M,fisher,3299.07,63
1,F,fisher,1153.98,18
1,M,craftsman,5216.80,53
1,F,farmer,1876.94,35
1,M,homemaker,159.68,32
1,M,fisher,1682.78,29
1,M,service provider,6032.62,48
1,F,service provider,2675.59,18
1,M,farmer,2838.29,56
1,F,homemaker,263.21,54
1,F,child,0.00,6
1,M,service provider,7051.46,58
1,M,child,0.00,16
1,X,civil servant,4094.10,31
1,F,fisher,2041.40,40
1,M,farmer,1466.06,25
1,M,child,0.00,2
1,M,unemployed,265.83,56
1,F,child,0.00,12
1,F,child,0.00,14
1,M,homemaker,241.13,52
1,M,service provider,3199.54,23
1,M,homemaker,257.90,58
1,X,homemaker,229.75,46
1,F,civil servant,2573.90,18
1,X,child,0.00,1
1,F,fisher,3239.41,62
1,M,child,0.00,6
1,F,unemployed,233.81,47
1,F,civil servant,4120.08,32
1,F,craftsman,4716.83,50
1,M,civil servant,5452.44,45
1,F,craftsman,4249.21,42
1,M,homemaker,159.87,32
1,M,homemaker,246.65,52
1,M,child,0.00,7
1,F,child,0.00,15
1,F,civil servant,5629.27,45
1,M,fisher,1187.15,20
1,F,unemployed,183.09,38
1,M,craftsman,3350.53,31
1,F,unemployed,173.87,35
1,F,fisher,1568.16,28
1,M,farmer,2511.51,49
1,F,farmer,1226.03,22
1,F,farmer,2315.31,46
1,M,craftsman,2196.96,18
1,F,child,0.00,17
1,F,child,0.00,8
1,F,child,0.00,13
1,F,child,0.00,8
1,M,farmer,1822.96,35
1,M,homemaker,246.58,50
1,M,child,0.00,13
1,F,child,0.00,15
1,F,farmer,1692.42,32
1,F,unemployed,223.38,48
1,M,homemaker,294.42,64
1,M,homemaker,167.29,35
1,F,fisher,1144.85,19
1,F,child,0.00,7
1,M,child,0.00,13
1,F,child,0.00,15
1,M,child,0.00,12
1,F,child,0.00,1
1,F,civil servant,4470.17,35
1,M,craftsman,2141.32,18
1,M,service provider,7550.11,64
1,F,fisher,1903.75,36
1,M,farmer,2485.41,46
1,F,child,0.00,9
1,M,service provider,6648.73,57
1,M,service provider,4293.81,32
1,F,farmer,2968.82,57
1,F,unemployed,188.39,38
1,M,fisher,1651.17,31
1,M,civil servant,4001.73,29
1,X,child,0.00,12
1,F,child,0.00,4
1,M,homemaker,279.88,62
1,F,civil servant,4013.87,32
1,M,homemaker,244.59,54
1,M,service provider,3617.26,27
1,M,child,0.00,5
1,F,homemaker,206.94,41
1,M,child,0.00,4
1,M,child,0.00,10
1,M,fisher,1936.02,37
1,F,fisher,1182.28,20
1,M,retired,290.53,65
1,F,child,0.00,8
1,F,service provider,6226.69,50
1,M,civil servant,4999.88,40
1,M,homemaker,233.16,52
1,F,child,0.00,15
1,M,craftsman,3570.06,34
1,M,civil servant,3808.78,30
1,F,craftsman,3111.40,29
1,F,civil servant,6728.62,56
1,M,retired,306.14,65
1,F,unemployed,105.32,20
1,F,craftsman,4260.17,41
1,M,homemaker,199.59,40
1,M,civil servant,5766.02,49
1,M,farmer,3033.75,62
1,M,child,0.00,14
1,M,child,0.00,14
1,F,fisher,2354.66,43
1,F,child,0.00,11
1,X,child,0.00,12
1,M,child,0.00,5
1,M,child,0.00,1
1,M,fisher,1609.68,30
1,F,craftsman,3907.40,39
1,M,craftsman,2180.07,19
1,M,child,0.00,16
1,M,farmer,2353.35,46
1,M,civil servant,5904.50,46
1,M,farmer,1666.31,30
1,M,homemaker,217.88,45
1,F,homemaker,285.72,61
1,M,homemaker,247.40,52
1,F,unemployed,199.59,41
1,F,farmer,2235.69,43
1,M,craftsman,6147.88,61
1,X,service provider,3749.88,28
1,F,farmer,2003.50,36
1,X,craftsman,4423.32,43
1,F,fisher,3003.85,60
1,F,farmer,2816.99,54
1,M,child,0.00,5
1,F,child,0.00,11
1,M,fisher,1144.05,20
1,M,fisher,2457.68,49
1,M,farmer,1913.34,37
1,M,civil servant,2657.88,19
1,X,child,0.00,9
1,M,fisher,2288.91,45
1,F,homemaker,223.39,46
1,M,farmer,3162.99,62
1,M,farmer,1787.39,33
1,F,service provider,4105.32,33
1,X,child,0.00,6
1,F,child,0.00,3
1,F,farmer,1596.11,29
1,M,homemaker,109.22,21
1,M,child,0.00,17
1,X,child,0.00,6
1,F,craftsman,6204.22,63
1,F,service provider,6823.09,55
1,F,craftsman,3943.70,38
1,M,craftsman,6333.45,62
1,F,retired,301.65,65
1,F,unemployed,210.42,44
1,F,farmer,1079.60,18
1,M,child,0.00,3
1,X,service provider,6110.34,50
1,M,unemployed,148.39,31
1,M,farmer,2238.21,43
1,F,farmer,2915.60,60
1,F,child,0.00,12
1,M,fisher,2007.27,39
1,M,craftsman,4378.48,42
1,F,homemaker,166.98,32
1,M,child,0.00,6
1,F,civil servant,3154.91,23
1,F,craftsman,2456.21,22
1,M,service provider,5577.75,44
1,F,homemaker,259.49,56
1,F,craftsman,2540.97,22
1,F,homemaker,218.90,46
1,M,homemaker,99.90,19
1,F,homemaker,273.76,62
1,M,farmer,2809.78,53
1,M,craftsman,3631.41,36
1,F,service provider,3839.23,30
1,M,farmer,1245.09,21
1,M,service provider,2941.60,22
1,F,fisher,3239.31,64
1,M,service provider,3682.95,27
1,M,homemaker,172.55,34
1,X,retired,301.49,65
1,X,unemployed,198.40,43
1,M,civil servant,4414.35,36
1,M,farmer,1563.13,27
1,M,child,0.00,13
1,F,unemployed,129.59,24
1,F,farmer,2563.28,50
1,F,homemaker,204.26,41
1,M,farmer,2478.79,50
1,M,child,0.00,14
1,F,unemployed,180.46,36
1,F,homemaker,284.29,61
1,F,farmer,1693.99,29
1,X,service provider,5471.33,46
1,F,child,0.00,8
1,M,service provider,7943.17,64
1,F,fisher,2183.32,40
1,M,child,0.00,16
1,F,child,0.00,11
1,F,farmer,1903.26,36
1,M,farmer,2039.55,36
1,M,child,0.00,7
1,M,retired,298.49,65
1,F,craftsman,5764.56,60
1,M,civil servant,4052.06,30
1,F,child,0.00,8
1,F,service provider,6652.83,55
1,M,farmer,1891.15,33
1,F,civil servant,5968.61,47
1,M,fisher,1800.30,34
1,F,homemaker,100.88,18
1,F,unemployed,253.60,55
1,F,homemaker,301.98,64
1,M,child,0.00,16
1,M,fisher,1968.34,36
1,M,farmer,1379.97,25
1,M,homemaker,268.67,60
1,F,service provider,4242.00,34
1,F,homemaker,262.29,58
1,M,farmer,2796.62,57
1,F,farmer,1075.92,18
1,F,homemaker,245.63,52
1,M,craftsman,2853.04,27
1,M,civil servant,7507.58,61
1,M,unemployed,164.54,34
1,F,service provider,6429.82,54
1,F,homemaker,107.99,19
1,F,homemaker,113.78,20
1,F,civil servant,5011.68,39
1,F,retired,287.86,65
1,M,craftsman,3506.14,32
1,M,child,0.00,10
1,M,unemployed,181.64,36
1,F,homemaker,126.36,23
1,F,homemaker,185.29,36
1,F,service provider,4760.02,36
1,F,homemaker,145.43,30
1,M,service provider,3039.25,21
1,M,child,0.00,13
1,M,farmer,2350.29,46
1,F,civil servant,4914.51,38
1,F,child,0.00,16
1,M,civil servant,6456.40,51
1,F,child,0.00,3
1,M,homemaker,237.98,49
1,F,farmer,2453.12,46
1,F,civil servant,6465.52,53
1,X,fisher,1485.88,26
1,F,unemployed,205.77,44
1,F,fisher,2761.22,54
1,M,fisher,3237.57,64
1,F,farmer,1826.21,33
1,M,child,0.00,3
1,F,fisher,1870.63,33
1,F,civil servant,4723.07,39
1,F,craftsman,5593.83,57
1,F,homemaker,260.06,57
1,M,unemployed,153.21,29
1,F,homemaker,170.08,35
1,M,homemaker,157.87,30
1,F,fisher,2415.00,47
1,F,fisher,1445.59,27
1,M,farmer,2332.45,43
1,F,child,0.00,11
1,M,farmer,1748.27,31
1,M,civil servant,7753.74,63
1,F,service provider,3140.09,23
1,M,farmer,2450.21,46
1,M,farmer,2238.03,43
1,M,unemployed,250.27,56
1,M,craftsman,5514.66,56
1,F,farmer,2797.49,56
1,X,homemaker,128.87,25
1,M,homemaker,109.52,21
1,F,civil servant,5674.07,47
1,M,civil servant,6342.04,50
1,X,civil servant,6802.70,57
1,F,child,0.00,3
1,F,child,0.00,5
1,M,farmer,2240.73,42
1,X,craftsman,5891.91,60
1,M,retired,299.56,65
1,X,fisher,2511.20,49
1,M,unemployed,149.49,29
1,M,child,0.00,7
1,M,farmer,2123.00,42
1,F,fisher,2808.39,57
1,M,craftsman,3170.50,29
1,F,homemaker,218.26,46
1,F,farmer,2905.70,59
1,M,child,0.00,3
1,F,farmer,2787.75,52
1,M,unemployed,107.87,20
1,F,homemaker,123.31,25
1,M,child,0.00,10
1,F,craftsman,3784.92,35
1,F,fisher,1930.14,37
1,F,civil servant,6481.68,52
1,F,child,0.00,12
1,F,child,0.00,6
1,M,farmer,2817.85,57
1,M,unemployed,200.84,41
1,F,child,0.00,16
1,M,homemaker,269.22,60
1,M,child,0.00,10
1,F,unemployed,157.60,30
1,F,child,0.00,17
1,M,child,0.00,17
1,M,child,0.00,1
1,M,homemaker,243.31,53
1,M,fisher,3065.82,59
1,M,fisher,2304.83,45
1,M,child,0.00,11
1,M,homemaker,144.93,29
1,F,farmer,1387.91,23
1,F,craftsman,3843.59,39
1,F,farmer,2200.36,42
1,F,craftsman,2935.39,28
1,M,child,0.00,17
1,F,fisher,2888.39,55
1,M,child,0.00,13
1,M,service provider,3392.45,26
1,M,unemployed,162.06,32
1,F,child,0.00,16
1,F,civil servant,4910.80,38
1,M,fisher,1934.58,38
1,M,retired,299.30,65
1,M,service provider,2717.65,20
1,M,farmer,3164.12,64
1,F,civil servant,5462.54,43
1,F,fisher,1121.52,18
1,M,service provider,4851.24,37
1,M,civil servant,5859.98,45
1,F,fisher,2531.25,49
1,F,child,0.00,4
1,M,craftsman,3916.40,40
1,F,homemaker,156.80,33
1,F,fisher,2983.85,59
1,F,homemaker,106.66,19
1,M,fisher,2584.48,52
1,M,service provider,4940.08,40
1,M,unemployed,125.90,23
1,M,craftsman,4090.65,42
1,M,unemployed,203.28,41
1,F,homemaker,220.33,45
1,M,craftsman,4519.38,47
1,M,farmer,2382.12,43
1,F,unemployed,248.25,55
1,M,craftsman,4168.00,41
1,F,civil servant,6785.41,59
1,F,unemployed,209.48,43
1,M,fisher,1233.00,21
1,F,service provider,3901.92,29
1,M,service provider,4874.41,38
1,F,homemaker,219.72,48
1,F,child,0.00,6
1,M,unemployed,107.55,20
1,M,unemployed,236.24,49
1,M,child,0.00,12
1,F,child,0.00,9
1,F,farmer,2012.48,36
1,M,homemaker,283.52,64
1,M,fisher,1820.00,35
1,F,unemployed,285.76,60
1,M,unemployed,255.46,54
1,F,child,0.00,17
1,F,farmer,2752.81,54
1,X,craftsman,3506.30,32
1,F,unemployed,244.32,53
1,F,unemployed,223.56,49
1,F,unemployed,118.57,23
1,F,child,0.00,8
1,F,homemaker,279.37,63
1,F,child,0.00,10
1,F,fisher,3223.50,63
1,F,service provider,6872.30,56
1,F,fisher,2531.20,48
1,F,unemployed,304.00,64
1,M,fisher,3267.46,63
1,M,unemployed,257.60,53
1,M,service provider,3315.53,24
1,F,craftsman,5036.38,52
1,F,child,0.00,1
1,F,unemployed,172.65,35
1,F,homemaker,151.21,30
1,M,craftsman,4533.04,44
1,M,farmer,2269.65,44
1,M,farmer,1945.47,38
1,M,farmer,2895.93,54
1,M,craftsman,6306.17,62
1,F,child,0.00,8
1,M,child,0.00,16
1,M,child,0.00,2
