year,sex,profession,income,age,net_worth
0,M,service provider,5718.21,47,10000.0
0,F,child,0.0,17,10000.0
0,M,farmer,2708.38,55,10000.0
0,F,homemaker,261.24,53,10000.0
0,F,child,0.0,5,10000.0
0,M,service provider,7215.4,57,10000.0
0,M,child,0.0,15,10000.0
0,X,civil servant,3758.38,30,10000.0
0,F,fisher,2173.33,39,10000.0
0,M,farmer,1316.19,24,10000.0
0,M,child,0.0,1,10000.0
0,M,unemployed,255.1,55,10000.0
0,F,child,0.0,11,10000.0
0,F,child,0.0,13,10000.0
0,M,homemaker,246.89,51,10000.0
0,M,service provider,3123.43,22,10000.0
0,M,homemaker,278.68,57,10000.0
0,X,homemaker,218.03,45,10000.0
0,F,child,0.0,17,10000.0
0,X,child,0.0,0,10000.0
0,F,fisher,3087.98,61,10000.0
0,M,child,0.0,5,10000.0
0,F,unemployed,229.95,46,10000.0
0,F,civil servant,3990.84,31,10000.0
0,F,craftsman,5050.23,49,10000.0
0,M,civil servant,5699.37,44,10000.0
0,F,craftsman,4103.65,41,10000.0
0,M,homemaker,158.16,31,10000.0
0,M,homemaker,244.32,51,10000.0
0,M,child,0.0,6,10000.0
0,F,child,0.0,14,10000.0
0,F,civil servant,5498.12,44,10000.0
0,M,fisher,1164.42,19,10000.0
0,F,unemployed,178.1,37,10000.0
0,M,craftsman,3070.34,30,10000.0
0,F,unemployed,168.71,34,10000.0
0,F,fisher,1525.66,27,10000.0
0,M,farmer,2561.32,48,10000.0
0,F,farmer,1206.03,21,10000.0
0,F,farmer,2246.46,45,10000.0
0,M,child,0.0,17,10000.0
0,F,child,0.0,16,10000.0
0,F,child,0.0,7,10000.0
0,F,child,0.0,12,10000.0
0,F,child,0.0,7,10000.0
0,M,farmer,1760.69,34,10000.0
0,M,homemaker,227.24,49,10000.0
0,M,child,0.0,12,10000.0
0,F,child,0.0,14,10000.0
0,F,farmer,1738.15,31,10000.0
0,F,unemployed,224.4,47,10000.0
0,M,homemaker,292.42,63,10000.0
0,M,homemaker,173.52,34,10000.0
0,F,fisher,1072.23,18,10000.0
0,F,child,0.0,6,10000.0
0,M,child,0.0,12,10000.0
0,F,child,0.0,14,10000.0
0,M,child,0.0,11,10000.0
0,F,child,0.0,0,10000.0
0,F,civil servant,4302.98,34,10000.0
0,M,child,0.0,17,10000.0
0,M,service provider,7408.69,63,10000.0
0,F,fisher,1978.67,35,10000.0
0,M,farmer,2417.02,45,10000.0
0,F,child,0.0,8,10000.0
0,M,service provider,6540.82,56,10000.0
0,M,service provider,4163.27,31,10000.0
0,F,farmer,2855.48,56,10000.0
0,F,unemployed,185.66,37,10000.0
0,M,fisher,1725.47,30,10000.0
0,M,civil servant,3526.86,28,10000.0
0,X,child,0.0,11,10000.0
0,F,child,0.0,3,10000.0
0,M,homemaker,274.66,61,10000.0
0,F,civil servant,3877.13,31,10000.0
0,M,homemaker,237.33,53,10000.0
0,M,service provider,3519.19,26,10000.0
0,M,child,0.0,4,10000.0
0,F,homemaker,197.55,40,10000.0
0,M,child,0.0,3,10000.0
0,M,child,0.0,9,10000.0
0,M,fisher,1854.88,36,10000.0
0,F,fisher,1174.39,19,10000.0
0,M,civil servant,7614.21,64,10000.0
0,F,child,0.0,7,10000.0
0,F,service provider,5869.6,49,10000.0
0,M,civil servant,4784.2,39,10000.0
0,M,homemaker,249.17,51,10000.0
0,F,child,0.0,14,10000.0
0,M,craftsman,3287.82,33,10000.0
0,M,civil servant,3818.51,29,10000.0
0,F,craftsman,2930.53,28,10000.0
0,F,civil servant,6904.99,55,10000.0
0,M,fisher,3328.51,64,10000.0
0,F,unemployed,102.37,19,10000.0
0,F,craftsman,4105.77,40,10000.0
0,M,homemaker,192.63,39,10000.0
0,M,civil servant,5813.0,48,10000.0
0,M,farmer,3051.06,61,10000.0
0,M,child,0.0,13,10000.0
0,M,child,0.0,13,10000.0
0,F,fisher,2144.09,42,10000.0
0,F,child,0.0,10,10000.0
0,X,child,0.0,11,10000.0
0,M,child,0.0,4,10000.0
0,M,child,0.0,0,10000.0
0,M,fisher,1640.77,29,10000.0
0,F,craftsman,3778.8,38,10000.0
0,M,craftsman,2058.11,18,10000.0
0,M,child,0.0,15,10000.0
0,M,farmer,2260.05,45,10000.0
0,M,civil servant,5837.83,45,10000.0
0,M,farmer,1676.21,29,10000.0
0,M,homemaker,219.31,44,10000.0
0,F,homemaker,282.24,60,10000.0
0,M,homemaker,238.68,51,10000.0
0,F,unemployed,193.53,40,10000.0
0,F,farmer,2328.41,42,10000.0
0,M,craftsman,6111.66,60,10000.0
0,X,service provider,3657.36,27,10000.0
0,F,farmer,1949.93,35,10000.0
0,X,craftsman,4167.74,42,10000.0
0,F,fisher,2993.89,59,10000.0
0,F,farmer,2642.24,53,10000.0
0,M,child,0.0,4,10000.0
0,F,child,0.0,10,10000.0
0,M,fisher,1132.64,19,10000.0
0,M,fisher,2567.97,48,10000.0
0,M,farmer,1937.41,36,10000.0
0,M,civil servant,2690.83,18,10000.0
0,X,child,0.0,8,10000.0
0,M,fisher,2270.85,44,10000.0
0,F,homemaker,219.35,45,10000.0
0,M,farmer,3207.95,61,10000.0
0,M,farmer,1828.12,32,10000.0
0,F,service provider,4174.82,32,10000.0
0,X,child,0.0,5,10000.0
0,F,child,0.0,2,10000.0
0,F,farmer,1641.44,28,10000.0
0,M,homemaker,109.13,20,10000.0
0,M,child,0.0,16,10000.0
0,X,child,0.0,5,10000.0
0,F,craftsman,5811.2,62,10000.0
0,F,service provider,6413.7,54,10000.0
0,F,craftsman,3685.2,37,10000.0
0,M,craftsman,6029.73,61,10000.0
0,F,fisher,3390.55,64,10000.0
0,F,unemployed,213.55,43,10000.0
0,F,child,0.0,17,10000.0
0,M,child,0.0,2,10000.0
0,X,service provider,5784.05,49,10000.0
0,M,unemployed,154.46,30,10000.0
0,M,farmer,2154.59,42,10000.0
0,F,farmer,2949.24,59,10000.0
0,F,child,0.0,11,10000.0
0,M,fisher,2071.53,38,10000.0
0,M,craftsman,4198.09,41,10000.0
0,F,homemaker,161.12,31,10000.0
0,M,child,0.0,5,10000.0
0,F,civil servant,2947.68,22,10000.0
0,F,craftsman,2430.06,21,10000.0
0,M,service provider,5486.32,43,10000.0
0,F,homemaker,258.96,55,10000.0
0,F,craftsman,2363.21,21,10000.0
0,F,homemaker,222.83,45,10000.0
0,M,homemaker,98.33,18,10000.0
0,F,homemaker,295.91,61,10000.0
0,M,farmer,2561.04,52,10000.0
0,M,craftsman,3777.36,35,10000.0
0,F,service provider,3993.4,29,10000.0
0,M,farmer,1147.94,20,10000.0
0,M,service provider,3078.39,21,10000.0
0,F,fisher,3199.62,63,10000.0
0,M,service provider,3395.4,26,10000.0
0,M,homemaker,165.54,33,10000.0
0,X,craftsman,6027.12,64,10000.0
0,X,unemployed,210.52,42,10000.0
0,M,civil servant,4504.19,35,10000.0
0,M,farmer,1515.09,26,10000.0
0,M,child,0.0,12,10000.0
0,F,unemployed,119.83,23,10000.0
0,F,farmer,2559.65,49,10000.0
0,F,homemaker,190.89,40,10000.0
0,M,farmer,2490.24,49,10000.0
0,M,child,0.0,13,10000.0
0,F,unemployed,172.56,35,10000.0
0,F,homemaker,278.65,60,10000.0
0,F,farmer,1505.14,28,10000.0
0,X,service provider,5856.16,45,10000.0
0,F,child,0.0,7,10000.0
0,M,service provider,7555.6,63,10000.0
0,F,fisher,2153.74,39,10000.0
0,M,child,0.0,15,10000.0
0,F,child,0.0,10,10000.0
0,F,farmer,1974.29,35,10000.0
0,M,farmer,1871.23,35,10000.0
0,M,child,0.0,6,10000.0
0,M,craftsman,6157.18,64,10000.0
0,F,craftsman,5799.87,59,10000.0
0,M,civil servant,3710.63,29,10000.0
0,F,child,0.0,7,10000.0
0,F,service provider,6349.89,54,10000.0
0,M,farmer,1713.33,32,10000.0
0,F,civil servant,5945.59,46,10000.0
0,M,fisher,1816.39,33,10000.0
0,F,child,0.0,17,10000.0
0,F,unemployed,251.1,54,10000.0
0,F,homemaker,281.36,63,10000.0
0,M,child,0.0,15,10000.0
0,M,fisher,1863.49,35,10000.0
0,M,farmer,1364.26,24,10000.0
0,M,homemaker,283.62,59,10000.0
0,F,service provider,4259.28,33,10000.0
0,F,homemaker,270.07,57,10000.0
0,M,farmer,2931.94,56,10000.0
0,F,child,0.0,17,10000.0
0,F,homemaker,234.59,51,10000.0
0,M,craftsman,2905.42,26,10000.0
0,M,civil servant,7584.88,60,10000.0
0,M,unemployed,166.15,33,10000.0
0,F,service provider,6466.25,53,10000.0
0,F,homemaker,96.68,18,10000.0
0,F,homemaker,107.33,19,10000.0
0,F,civil servant,4653.59,38,10000.0
0,F,fisher,3324.86,64,10000.0
0,M,craftsman,3257.89,31,10000.0
0,M,child,0.0,9,10000.0
0,M,unemployed,179.53,35,10000.0
0,F,homemaker,117.51,22,10000.0
0,F,homemaker,174.78,35,10000.0
0,F,service provider,4283.13,35,10000.0
0,F,homemaker,139.96,29,10000.0
0,M,service provider,2919.09,20,10000.0
0,M,child,0.0,12,10000.0
0,M,farmer,2469.06,45,10000.0
0,F,civil servant,4781.22,37,10000.0
0,F,child,0.0,15,10000.0
0,M,civil servant,6302.74,50,10000.0
0,F,child,0.0,2,10000.0
0,M,homemaker,225.67,48,10000.0
0,F,farmer,2444.8,45,10000.0
0,F,civil servant,6190.85,52,10000.0
0,X,fisher,1457.24,25,10000.0
0,F,unemployed,196.25,43,10000.0
0,F,fisher,2739.87,53,10000.0
0,M,fisher,3165.73,63,10000.0
0,F,farmer,1776.0,32,10000.0
0,M,child,0.0,2,10000.0
0,F,fisher,1784.59,32,10000.0
0,F,civil servant,4868.84,38,10000.0
0,F,craftsman,5486.51,56,10000.0
0,F,homemaker,261.38,56,10000.0
0,M,unemployed,135.52,28,10000.0
0,F,homemaker,168.95,34,10000.0
0,M,homemaker,139.64,29,10000.0
0,F,fisher,2417.73,46,10000.0
0,F,fisher,1441.25,26,10000.0
0,M,farmer,2329.57,42,10000.0
0,F,child,0.0,10,10000.0
0,M,farmer,1581.47,30,10000.0
0,M,civil servant,7701.95,62,10000.0
0,F,service provider,3095.5,22,10000.0
0,M,farmer,2436.2,45,10000.0
0,M,farmer,2314.51,42,10000.0
0,M,unemployed,247.33,55,10000.0
0,M,craftsman,5188.13,55,10000.0
0,F,farmer,2732.49,55,10000.0
0,X,homemaker,121.66,24,10000.0
0,M,homemaker,108.8,20,10000.0
0,F,civil servant,5877.48,46,10000.0
0,M,civil servant,5889.49,49,10000.0
0,X,civil servant,6734.1,56,10000.0
0,F,child,0.0,2,10000.0
0,F,child,0.0,4,10000.0
0,M,farmer,2148.96,41,10000.0
0,X,craftsman,5709.67,59,10000.0
0,M,service provider,7739.34,64,10000.0
0,X,fisher,2627.02,48,10000.0
0,M,unemployed,138.65,28,10000.0
0,M,child,0.0,6,10000.0
0,M,farmer,2216.65,41,10000.0
0,F,fisher,2978.86,56,10000.0
0,M,craftsman,3039.64,28,10000.0
0,F,homemaker,222.59,45,10000.0
0,F,farmer,3049.5,58,10000.0
0,M,child,0.0,2,10000.0
0,F,farmer,2537.17,51,10000.0
0,M,unemployed,103.0,19,10000.0
0,F,homemaker,126.19,24,10000.0
0,M,child,0.0,9,10000.0
0,F,craftsman,3373.11,34,10000.0
0,F,fisher,1847.26,36,10000.0
0,F,civil servant,6045.64,51,10000.0
0,F,child,0.0,11,10000.0
0,F,child,0.0,5,10000.0
0,M,farmer,2878.68,56,10000.0
0,M,unemployed,192.34,40,10000.0
0,F,child,0.0,15,10000.0
0,M,homemaker,282.27,59,10000.0
0,M,child,0.0,9,10000.0
0,F,unemployed,147.78,29,10000.0
0,F,child,0.0,16,10000.0
0,M,child,0.0,16,10000.0
0,M,child,0.0,0,10000.0
0,M,homemaker,253.44,52,10000.0
0,M,fisher,2852.07,58,10000.0
0,M,fisher,2323.55,44,10000.0
0,M,child,0.0,10,10000.0
0,M,homemaker,136.03,28,10000.0
0,F,farmer,1250.09,22,10000.0
0,F,craftsman,4030.33,38,10000.0
0,F,farmer,2260.95,41,10000.0
0,F,craftsman,2897.14,27,10000.0
0,M,child,0.0,16,10000.0
0,F,fisher,2658.82,54,10000.0
0,M,child,0.0,12,10000.0
0,M,service provider,3230.83,25,10000.0
0,M,unemployed,161.93,31,10000.0
0,F,child,0.0,15,10000.0
0,F,civil servant,4889.89,37,10000.0
0,M,fisher,2002.0,37,10000.0
0,M,civil servant,7330.19,64,10000.0
0,M,service provider,2826.86,19,10000.0
0,M,farmer,3146.9,63,10000.0
0,F,civil servant,5497.84,42,10000.0
0,F,child,0.0,17,10000.0
0,M,service provider,4631.45,36,10000.0
0,M,civil servant,5614.75,44,10000.0
0,F,fisher,2557.52,48,10000.0
0,F,child,0.0,3,10000.0
0,M,craftsman,3936.15,39,10000.0
0,F,homemaker,152.82,32,10000.0
0,F,fisher,2872.01,58,10000.0
0,F,homemaker,97.4,18,10000.0
0,M,fisher,2733.19,51,10000.0
0,M,service provider,4868.83,39,10000.0
0,M,unemployed,121.66,22,10000.0
0,M,craftsman,4085.4,41,10000.0
0,M,unemployed,198.57,40,10000.0
0,F,homemaker,203.05,44,10000.0
0,M,craftsman,4826.93,46,10000.0
0,M,farmer,2273.24,42,10000.0
0,F,unemployed,253.21,54,10000.0
0,M,craftsman,4258.82,40,10000.0
0,F,civil servant,6711.98,58,10000.0
0,F,unemployed,200.86,42,10000.0
0,M,fisher,1234.04,20,10000.0
0,F,service provider,3647.3,28,10000.0
0,M,service provider,4828.62,37,10000.0
0,F,homemaker,233.57,47,10000.0
0,F,child,0.0,5,10000.0
0,M,unemployed,103.18,19,10000.0
0,M,unemployed,233.89,48,10000.0
0,M,child,0.0,11,10000.0
0,F,child,0.0,8,10000.0
0,F,farmer,1806.57,35,10000.0
0,M,homemaker,284.88,63,10000.0
0,M,fisher,1940.01,34,10000.0
0,F,unemployed,274.21,59,10000.0
0,M,unemployed,245.35,53,10000.0
0,F,child,0.0,16,10000.0
0,F,farmer,2859.1,53,10000.0
0,X,craftsman,3239.47,31,10000.0
0,F,unemployed,249.08,52,10000.0
0,F,unemployed,231.32,48,10000.0
0,F,unemployed,112.17,22,10000.0
0,F,child,0.0,7,10000.0
0,F,homemaker,290.64,62,10000.0
0,F,child,0.0,9,10000.0
0,F,fisher,3253.75,62,10000.0
0,F,service provider,6836.26,55,10000.0
0,F,fisher,2354.73,47,10000.0
0,F,unemployed,281.41,63,10000.0
0,M,fisher,3226.46,62,10000.0
0,M,unemployed,247.96,52,10000.0
0,M,service provider,3228.76,23,10000.0
0,F,craftsman,4956.38,51,10000.0
0,F,child,0.0,0,10000.0
0,F,unemployed,161.47,34,10000.0
0,F,homemaker,139.54,29,10000.0
0,M,craftsman,4250.94,43,10000.0
0,M,farmer,2238.41,43,10000.0
0,M,farmer,1943.56,37,10000.0
0,M,farmer,2637.67,53,10000.0
0,M,craftsman,5756.78,61,10000.0
0,F,child,0.0,7,10000.0
0,M,child,0.0,15,10000.0
0,M,child,0.0,1,10000.0
0,F,farmer,2910.57,57,10000.0
0,F,farmer,1953.19,36,10000.0
0,M,homemaker,271.94,59,10000.0
0,M,child,0.0,14,10000.0
0,F,child,0.0,4,10000.0
0,M,homemaker,237.14,53,10000.0
0,M,service provider,7031.92,59,10000.0
0,M,homemaker,100.01,19,10000.0
0,F,farmer,1488.92,26,10000.0
0,F,child,0.0,9,10000.0
0,F,homemaker,278.01,61,10000.0
0,F,homemaker,103.06,19,10000.0
0,F,homemaker,156.25,32,10000.0
0,M,child,0.0,6,10000.0
0,M,service provider,6837.31,57,10000.0
0,M,child,0.0,8,10000.0
0,F,fisher,1547.83,29,10000.0
0,F,civil servant,5581.21,43,10000.0
0,F,farmer,2605.73,48,10000.0
0,M,farmer,3261.61,61,10000.0
0,F,farmer,1532.22,27,10000.0
0,F,farmer,2421.51,48,10000.0
0,F,child,0.0,10,10000.0
0,M,craftsman,2781.32,26,10000.0
0,M,child,0.0,6,10000.0
0,M,craftsman,3143.9,31,10000.0
0,M,homemaker,131.38,26,10000.0
0,M,unemployed,282.78,61,10000.0
0,F,child,0.0,2,10000.0
0,M,farmer,1320.54,24,10000.0
0,M,homemaker,141.62,28,10000.0
0,M,fisher,3088.21,61,10000.0
0,M,civil servant,6683.06,55,10000.0
1,F,civil servant,4927.02,41,12187.39
1,M,child,0.0,2,10000.0
1,M,unemployed,130.71,26,9578.48
1,M,farmer,1938.95,37,10693.36
1,F,child,0.0,2,10000.0
1,F,civil servant,5321.03,42,12384.4
1,F,child,0.0,9,10000.0
1,M,homemaker,156.78,31,9604.55
1,M,child,0.0,4,10000.0
1,M,fisher,1384.19,25,10415.98
1,M,child,0.0,14,10000.0
1,F,fisher,1236.64,22,10342.2
1,M,homemaker,231.56,50,9679.33
1,M,farmer,1491.74,25,10469.75
1,F,craftsman,4788.5,49,12118.13
1,F,service provider,6774.07,55,13110.92
1,M,child,0.0,17,10000.0
1,F,child,0.0,6,10000.0
1,F,child,0.0,2,10000.0
1,M,civil servant,4731.11,36,12089.44
1,F,retired,294.89,65,9742.66
1,F,unemployed,119.27,23,9567.04
1,M,craftsman,4470.77,43,11959.27
1,M,homemaker,249.07,51,9696.84
1,F,service provider,5620.42,43,12534.09
1,M,service provider,5916.99,50,12682.38
1,M,farmer,3102.91,62,11275.34
1,M,child,0.0,13,10000.0
1,F,child,0.0,2,10000.0
1,F,child,0.0,10,10000.0
1,F,child,0.0,9,10000.0
1,F,civil servant,5721.55,44,12584.66
1,F,farmer,1929.85,37,10688.81
1,X,child,0.0,15,10000.0
1,M,fisher,2365.84,46,10906.8
1,F,homemaker,247.14,50,9694.91
1,F,child,0.0,11,10000.0
1,F,craftsman,4256.54,40,11852.15
1,F,farmer,2497.86,49,10972.81
1,F,child,0.0,8,10000.0
1,F,service provider,6711.32,54,13079.54
1,M,farmer,3203.5,63,11325.63
1,M,child,0.0,8,10000.0
1,M,child,0.0,2,10000.0
1,M,craftsman,2386.05,21,10916.91
1,M,craftsman,4396.53,45,11922.15
1,M,unemployed,287.88,63,9735.65
1,M,farmer,1521.13,26,10484.45
1,F,unemployed,221.01,47,9668.78
1,M,child,0.0,5,10000.0
1,M,craftsman,4338.52,45,11893.14
1,M,farmer,2190.49,41,10819.13
1,M,child,0.0,7,10000.0
1,F,homemaker,242.64,51,9690.41
1,F,craftsman,5520.82,56,12484.29
1,F,homemaker,197.14,40,9644.91
1,M,child,0.0,8,10000.0
1,F,craftsman,6241.75,64,12844.76
1,M,fisher,2764.49,51,11106.13
1,M,civil servant,3141.09,23,11294.43
1,X,homemaker,145.52,28,9593.29
1,F,farmer,1418.87,25,10433.32
1,F,farmer,1764.52,33,10606.14
1,F,fisher,1359.77,23,10403.77
1,F,service provider,7021.29,56,13234.53
1,F,homemaker,260.68,54,9708.45
1,M,child,0.0,7,10000.0
1,M,homemaker,288.84,63,9736.61
1,M,homemaker,202.11,42,9649.88
1,M,unemployed,256.57,54,9704.34
1,M,civil servant,5550.88,46,12499.32
1,F,homemaker,149.14,29,9596.91
1,F,service provider,6046.55,48,12747.16
1,M,fisher,3299.07,63,11373.42
1,F,fisher,1153.98,18,10300.87
1,M,craftsman,5216.8,53,12332.28
1,F,farmer,1876.94,35,10662.35
1,M,homemaker,159.68,32,9607.45
1,M,fisher,1682.78,29,10565.27
1,M,service provider,6032.62,48,12740.19
1,F,service provider,2675.59,18,11061.68
1,M,farmer,2838.29,56,11143.03
1,F,homemaker,263.21,54,9710.98
1,F,child,0.0,6,10000.0
1,M,service provider,7051.46,58,13249.61
1,M,child,0.0,16,10000.0
1,X,civil servant,4094.1,31,11770.93
1,F,fisher,2041.4,40,10744.58
1,M,farmer,1466.06,25,10456.91
1,M,child,0.0,2,10000.0
1,M,unemployed,265.83,56,9713.6
1,F,child,0.0,12,10000.0
1,F,child,0.0,14,10000.0
1,M,homemaker,241.13,52,9688.9
1,M,service provider,3199.54,23,11323.65
1,M,homemaker,257.9,58,9705.67
1,X,homemaker,229.75,46,9677.52
1,F,civil servant,2573.9,18,11010.83
1,X,child,0.0,1,10000.0
1,F,fisher,3239.41,62,11343.59
1,M,child,0.0,6,10000.0
1,F,unemployed,233.81,47,9681.58
1,F,civil servant,4120.08,32,11783.92
1,F,craftsman,4716.83,50,12082.3
1,M,civil servant,5452.44,45,12450.1
1,F,craftsman,4249.21,42,11848.49
1,M,homemaker,159.87,32,9607.64
1,M,homemaker,246.65,52,9694.42
1,M,child,0.0,7,10000.0
1,F,child,0.0,15,10000.0
1,F,civil servant,5629.27,45,12538.52
1,M,fisher,1187.15,20,10317.46
1,F,unemployed,183.09,38,9630.86
1,M,craftsman,3350.53,31,11399.15
1,F,unemployed,173.87,35,9621.64
1,F,fisher,1568.16,28,10507.96
1,M,farmer,2511.51,49,10979.64
1,F,farmer,1226.03,22,10336.9
1,F,farmer,2315.31,46,10881.54
1,M,craftsman,2196.96,18,10822.36
1,F,child,0.0,17,10000.0
1,F,child,0.0,8,10000.0
1,F,child,0.0,13,10000.0
1,F,child,0.0,8,10000.0
1,M,farmer,1822.96,35,10635.36
1,M,homemaker,246.58,50,9694.35
1,M,child,0.0,13,10000.0
1,F,child,0.0,15,10000.0
1,F,farmer,1692.42,32,10570.09
1,F,unemployed,223.38,48,9671.15
1,M,homemaker,294.42,64,9742.19
1,M,homemaker,167.29,35,9615.06
1,F,fisher,1144.85,19,10296.31
1,F,child,0.0,7,10000.0
1,M,child,0.0,13,10000.0
1,F,child,0.0,15,10000.0
1,M,child,0.0,12,10000.0
1,F,child,0.0,1,10000.0
1,F,civil servant,4470.17,35,11958.97
1,M,craftsman,2141.32,18,10794.54
1,M,service provider,7550.11,64,13498.94
1,F,fisher,1903.75,36,10675.76
1,M,farmer,2485.41,46,10966.59
1,F,child,0.0,9,10000.0
1,M,service provider,6648.73,57,13048.25
1,M,service provider,4293.81,32,11870.79
1,F,farmer,2968.82,57,11208.29
1,F,unemployed,188.39,38,9636.16
1,M,fisher,1651.17,31,10549.47
1,M,civil servant,4001.73,29,11724.75
1,X,child,0.0,12,10000.0
1,F,child,0.0,4,10000.0
1,M,homemaker,279.88,62,9727.65
1,F,civil servant,4013.87,32,11730.82
1,M,homemaker,244.59,54,9692.36
1,M,service provider,3617.26,27,11532.51
1,M,child,0.0,5,10000.0
1,F,homemaker,206.94,41,9654.71
1,M,child,0.0,4,10000.0
1,M,child,0.0,10,10000.0
1,M,fisher,1936.02,37,10691.89
1,F,fisher,1182.28,20,10315.02
1,M,retired,290.53,65,9738.3
1,F,child,0.0,8,10000.0
1,F,service provider,6226.69,50,12837.23
1,M,civil servant,4999.88,40,12223.82
1,M,homemaker,233.16,52,9680.93
1,F,child,0.0,15,10000.0
1,M,craftsman,3570.06,34,11508.91
1,M,civil servant,3808.78,30,11628.27
1,F,craftsman,3111.4,29,11279.58
1,F,civil servant,6728.62,56,13088.19
1,M,retired,306.14,65,9753.91
1,F,unemployed,105.32,20,9553.09
1,F,craftsman,4260.17,41,11853.97
1,M,homemaker,199.59,40,9647.36
1,M,civil servant,5766.02,49,12606.89
1,M,farmer,3033.75,62,11240.76
1,M,child,0.0,14,10000.0
1,M,child,0.0,14,10000.0
1,F,fisher,2354.66,43,10901.21
1,F,child,0.0,11,10000.0
1,X,child,0.0,12,10000.0
1,M,child,0.0,5,10000.0
1,M,child,0.0,1,10000.0
1,M,fisher,1609.68,30,10528.72
1,F,craftsman,3907.4,39,11677.58
1,M,craftsman,2180.07,19,10813.92
1,M,child,0.0,16,10000.0
1,M,farmer,2353.35,46,10900.56
1,M,civil servant,5904.5,46,12676.13
1,M,farmer,1666.31,30,10557.04
1,M,homemaker,217.88,45,9665.65
1,F,homemaker,285.72,61,9733.49
1,M,homemaker,247.4,52,9695.17
1,F,unemployed,199.59,41,9647.36
1,F,farmer,2235.69,43,10841.73
1,M,craftsman,6147.88,61,12797.82
1,X,service provider,3749.88,28,11598.82
1,F,farmer,2003.5,36,10725.63
1,X,craftsman,4423.32,43,11935.54
1,F,fisher,3003.85,60,11225.81
1,F,farmer,2816.99,54,11132.38
1,M,child,0.0,5,10000.0
1,F,child,0.0,11,10000.0
1,M,fisher,1144.05,20,10295.91
1,M,fisher,2457.68,49,10952.72
1,M,farmer,1913.34,37,10680.55
1,M,civil servant,2657.88,19,11052.82
1,X,child,0.0,9,10000.0
1,M,fisher,2288.91,45,10868.34
1,F,homemaker,223.39,46,9671.16
1,M,farmer,3162.99,62,11305.38
1,M,farmer,1787.39,33,10617.58
1,F,service provider,4105.32,33,11776.54
1,X,child,0.0,6,10000.0
1,F,child,0.0,3,10000.0
1,F,farmer,1596.11,29,10521.94
1,M,homemaker,109.22,21,9556.99
