year,sex,profession,income,age,happiness
0,F,child,0.00,11,100.00
0,M,fisher,2071.53,38,100.00
0,M,craftsman,4198.09,41,100.00
0,F,homemaker,161.12,31,100.00
0,M,child,0.00,5,100.00
0,F,civil servant,2947.68,22,100.00
0,F,craftsman,2430.06,21,100.00
0,M,service provider,5486.32,43,100.00
0,F,homemaker,258.96,55,100.00
0,F,craftsman,2363.21,21,100.00
0,F,homemaker,222.83,45,100.00
0,M,homemaker,98.33,18,100.00
0,F,homemaker,295.91,61,100.00
0,M,farmer,2561.04,52,100.00
0,M,craftsman,3777.36,35,100.00
0,F,service provider,3993.40,29,100.00
0,M,farmer,1147.94,20,100.00
0,M,service provider,3078.39,21,100.00
0,F,fisher,3199.62,63,100.00
0,M,service provider,3395.40,26,100.00
0,M,homemaker,165.54,33,100.00
0,X,craftsman,6027.12,64,100.00
0,X,unemployed,210.52,42,100.00
0,M,civil servant,4504.19,35,100.00
0,M,farmer,1515.09,26,100.00
0,M,child,0.00,12,100.00
0,F,unemployed,119.83,23,100.00
0,F,farmer,2559.65,49,100.00
0,F,homemaker,190.89,40,100.00
0,M,farmer,2490.24,49,100.00
0,M,child,0.00,13,100.00
0,F,unemployed,172.56,35,100.00
0,F,homemaker,278.65,60,100.00
0,F,farmer,1505.14,28,100.00
0,X,service provider,5856.16,45,100.00
0,F,child,0.00,7,100.00
0,M,service provider,7555.60,63,100.00
0,F,fisher,2153.74,39,100.00
0,M,child,0.00,15,100.00
0,F,child,0.00,10,100.00
0,F,farmer,1974.29,35,100.00
0,M,farmer,1871.23,35,100.00
0,M,child,0.00,6,100.00
0,M,craftsman,6157.18,64,100.00
0,F,craftsman,5799.87,59,100.00
0,M,civil servant,3710.63,29,100.00
0,F,child,0.00,7,100.00
0,F,service provider,6349.89,54,100.00
0,M,farmer,1713.33,32,100.00
0,F,civil servant,5945.59,46,100.00
0,M,fisher,1816.39,33,100.00
0,F,child,0.00,17,100.00
0,F,unemployed,251.10,54,100.00
0,F,homemaker,281.36,63,100.00
0,M,child,0.00,15,100.00
0,M,fisher,1863.49,35,100.00
0,M,farmer,1364.26,24,100.00
0,M,homemaker,283.62,59,100.00
0,F,service provider,4259.28,33,100.00
0,F,homemaker,270.07,57,100.00
0,M,farmer,2931.94,56,100.00
0,F,child,0.00,17,100.00
0,F,homemaker,234.59,51,100.00
0,M,craftsman,2905.42,26,100.00
0,M,civil servant,7584.88,60,100.00
0,M,unemployed,166.15,33,100.00
0,F,service provider,6466.25,53,100.00
0,F,homemaker,96.68,18,100.00
0,F,homemaker,107.33,19,100.00
0,F,civil servant,4653.59,38,100.00
0,F,fisher,3324.86,64,100.00
0,M,craftsman,3257.89,31,100.00
0,M,child,0.00,9,100.00
0,M,unemployed,179.53,35,100.00
0,F,homemaker,117.51,22,100.00
0,F,homemaker,174.78,35,100.00
0,F,service provider,4283.13,35,100.00
0,F,homemaker,139.96,29,100.00
0,M,service provider,2919.09,20,100.00
0,M,child,0.00,12,100.00
0,M,farmer,2469.06,45,100.00
0,F,civil servant,4781.22,37,100.00
0,F,child,0.00,15,100.00
0,M,civil servant,6302.74,50,100.00
0,F,child,0.00,2,100.00
0,M,homemaker,225.67,48,100.00
0,F,farmer,2444.80,45,100.00
0,F,civil servant,6190.85,52,100.00
0,X,fisher,1457.24,25,100.00
0,F,unemployed,196.25,43,100.00
0,F,fisher,2739.87,53,100.00
0,M,fisher,3165.73,63,100.00
0,F,farmer,1776.00,32,100.00
0,M,child,0.00,2,100.00
0,F,fisher,1784.59,32,100.00
0,F,civil servant,4868.84,38,100.00
0,F,craftsman,5486.51,56,100.00
0,F,homemaker,261.38,56,100.00
0,M,unemployed,135.52,28,100.00
0,F,homemaker,168.95,34,100.00
0,M,homemaker,139.64,29,100.00
0,F,fisher,2417.73,46,100.00
0,F,fisher,1441.25,26,100.00
0,M,farmer,2329.57,42,100.00
0,F,child,0.00,10,100.00
0,M,farmer,1581.47,30,100.00
0,M,civil servant,7701.95,62,100.00
0,F,service provider,3095.50,22,100.00
0,M,farmer,2436.20,45,100.00
0,M,farmer,2314.51,42,100.00
0,M,unemployed,247.33,55,100.00
0,M,craftsman,5188.13,55,100.00
0,F,farmer,2732.49,55,100.00
0,X,homemaker,121.66,24,100.00
0,M,homemaker,108.80,20,100.00
0,F,civil servant,5877.48,46,100.00
0,M,civil servant,5889.49,49,100.00
0,X,civil servant,6734.10,56,100.00
0,F,child,0.00,2,100.00
0,F,child,0.00,4,100.00
0,M,farmer,2148.96,41,100.00
0,X,craftsman,5709.67,59,100.00
0,M,service provider,7739.34,64,100.00
0,X,fisher,2627.02,48,100.00
0,M,unemployed,138.65,28,100.00
0,M,child,0.00,6,100.00
0,M,farmer,2216.65,41,100.00
0,F,fisher,2978.86,56,100.00
0,M,craftsman,3039.64,28,100.00
0,F,homemaker,222.59,45,100.00
0,F,farmer,3049.50,58,100.00
0,M,child,0.00,2,100.00
0,F,farmer,2537.17,51,100.00
0,M,unemployed,103.00,19,100.00
0,F,homemaker,126.19,24,100.00
0,M,child,0.00,9,100.00
0,F,craftsman,3373.11,34,100.00
0,F,fisher,1847.26,36,100.00
0,F,civil servant,6045.64,51,100.00
0,F,child,0.00,11,100.00
0,F,child,0.00,5,100.00
0,M,farmer,2878.68,56,100.00
0,M,unemployed,192.34,40,100.00
0,F,child,0.00,15,100.00
0,M,homemaker,282.27,59,100.00
0,M,child,0.00,9,100.00
0,F,unemployed,147.78,29,100.00
0,F,child,0.00,16,100.00
0,M,child,0.00,16,100.00
0,M,child,0.00,0,100.00
0,M,homemaker,253.44,52,100.00
0,M,fisher,2852.07,58,100.00
0,M,fisher,2323.55,44,100.00
0,M,child,0.00,10,100.00
0,M,homemaker,136.03,28,100.00
0,F,farmer,1250.09,22,100.00
0,F,craftsman,4030.33,38,100.00
0,F,farmer,2260.95,41,100.00
0,F,craftsman,2897.14,27,100.00
0,M,child,0.00,16,100.00
0,F,fisher,2658.82,54,100.00
0,M,child,0.00,12,100.00
0,M,service provider,3230.83,25,100.00
0,M,unemployed,161.93,31,100.00
0,F,child,0.00,15,100.00
0,F,civil servant,4889.89,37,100.00
0,M,fisher,2002.00,37,100.00
0,M,civil servant,7330.19,64,100.00
0,M,service provider,2826.86,19,100.00
0,M,farmer,3146.90,63,100.00
0,F,civil servant,5497.84,42,100.00
0,F,child,0.00,17,100.00
0,M,service provider,4631.45,36,100.00
0,M,civil servant,5614.75,44,100.00
0,F,fisher,2557.52,48,100.00
0,F,child,0.00,3,100.00
0,M,craftsman,3936.15,39,100.00
0,F,homemaker,152.82,32,100.00
0,F,fisher,2872.01,58,100.00
0,F,homemaker,97.40,18,100.00
0,M,fisher,2733.19,51,100.00
0,M,service provider,4868.83,39,100.00
0,M,unemployed,121.66,22,100.00
0,M,craftsman,4085.40,41,100.00
0,M,unemployed,198.57,40,100.00
0,F,homemaker,203.05,44,100.00
0,M,craftsman,4826.93,46,100.00
0,M,farmer,2273.24,42,100.00
0,F,unemployed,253.21,54,100.00
0,M,craftsman,4258.82,40,100.00
0,F,civil servant,6711.98,58,100.00
0,F,unemployed,200.86,42,100.00
0,M,fisher,1234.04,20,100.00
0,F,service provider,3647.30,28,100.00
0,M,service provider,4828.62,37,100.00
0,F,homemaker,233.57,47,100.00
0,F,child,0.00,5,100.00
0,M,unemployed,103.18,19,100.00
0,M,unemployed,233.89,48,100.00
0,M,child,0.00,11,100.00
0,F,child,0.00,8,100.00
0,F,farmer,1806.57,35,100.00
0,M,homemaker,284.88,63,100.00
0,M,fisher,1940.01,34,100.00
0,F,unemployed,274.21,59,100.00
0,M,unemployed,245.35,53,100.00
0,F,child,0.00,16,100.00
0,F,farmer,2859.10,53,100.00
0,X,craftsman,3239.47,31,100.00
0,F,unemployed,249.08,52,100.00
0,F,unemployed,231.32,48,100.00
0,F,unemployed,112.17,22,100.00
0,F,child,0.00,7,100.00
0,F,homemaker,290.64,62,100.00
0,F,child,0.00,9,100.00
0,F,fisher,3253.75,62,100.00
0,F,service provider,6836.26,55,100.00
0,F,fisher,2354.73,47,100.00
0,F,unemployed,281.41,63,100.00
0,M,fisher,3226.46,62,100.00
0,M,unemployed,247.96,52,100.00
0,M,service provider,3228.76,23,100.00
0,F,craftsman,4956.38,51,100.00
0,F,child,0.00,0,100.00
0,F,unemployed,161.47,34,100.00
0,F,homemaker,139.54,29,100.00
0,M,craftsman,4250.94,43,100.00
0,M,farmer,2238.41,43,100.00
0,M,farmer,1943.56,37,100.00
0,M,farmer,2637.67,53,100.00
0,M,craftsman,5756.78,61,100.00
0,F,child,0.00,7,100.00
0,M,child,0.00,15,100.00
0,M,child,0.00,1,100.00
0,F,farmer,2910.57,57,100.00
0,F,farmer,1953.19,36,100.00
0,M,homemaker,271.94,59,100.00
0,M,child,0.00,14,100.00
0,F,child,0.00,4,100.00
0,M,homemaker,237.14,53,100.00
0,M,service provider,7031.92,59,100.00
0,M,homemaker,100.01,19,100.00
0,F,farmer,1488.92,26,100.00
0,F,child,0.00,9,100.00
0,F,homemaker,278.01,61,100.00
0,F,homemaker,103.06,19,100.00
0,F,homemaker,156.25,32,100.00
0,M,child,0.00,6,100.00
0,M,service provider,6837.31,57,100.00
0,M,child,0.00,8,100.00
0,F,fisher,1547.83,29,100.00
0,F,civil servant,5581.21,43,100.00
0,F,farmer,2605.73,48,100.00
0,M,farmer,3261.61,61,100.00
0,F,farmer,1532.22,27,100.00
0,F,farmer,2421.51,48,100.00
0,F,child,0.00,10,100.00
0,M,craftsman,2781.32,26,100.00
0,M,child,0.00,6,100.00
0,M,craftsman,3143.90,31,100.00
0,M,homemaker,131.38,26,100.00
0,M,unemployed,282.78,61,100.00
0,F,child,0.00,2,100.00
0,M,farmer,1320.54,24,100.00
0,M,homemaker,141.62,28,100.00
0,M,fisher,3088.21,61,100.00
0,M,civil servant,6683.06,55,100.00
1,F,civil servant,4927.02,41,101.09
1,M,child,0.00,2,100.00
1,M,unemployed,130.71,26,90.00
1,M,farmer,1938.95,37,100.18
1,F,child,0.00,2,100.00
1,F,civil servant,5321.03,42,101.16
1,F,child,0.00,9,100.00
1,M,homemaker,156.78,31,100.00
1,M,child,0.00,4,100.00
1,M,fisher,1384.19,25,99.78
1,M,child,0.00,14,100.00
1,F,fisher,1236.64,22,99.62
1,M,homemaker,231.56,50,100.00
1,M,farmer,1491.74,25,99.87
1,F,craftsman,4788.50,49,101.06
1,F,service provider,6774.07,55,101.37
1,M,child,0.00,17,100.00
1,F,child,0.00,6,100.00
1,F,child,0.00,2,100.00
1,M,civil servant,4731.11,36,101.05
1,F,retired,294.89,65,100.00
1,F,unemployed,119.27,23,90.00
1,M,craftsman,4470.77,43,101.00
1,M,homemaker,249.07,51,100.00
1,F,service provider,5620.42,43,101.21
1,M,service provider,5916.99,50,101.25
1,M,farmer,3102.91,62,100.66
1,M,child,0.00,13,100.00
1,F,child,0.00,2,100.00
1,F,child,0.00,10,100.00
1,F,child,0.00,9,100.00
1,F,civil servant,5721.55,44,101.22
1,F,farmer,1929.85,37,100.18
1,X,child,0.00,15,100.00
1,M,fisher,2365.84,46,100.39
1,F,homemaker,247.14,50,100.00
1,F,child,0.00,11,100.00
1,F,craftsman,4256.54,40,100.96
1,F,farmer,2497.86,49,100.45
1,F,child,0.00,8,100.00
1,F,service provider,6711.32,54,101.36
1,M,farmer,3203.50,63,100.69
1,M,child,0.00,8,100.00
1,M,child,0.00,2,100.00
1,M,craftsman,2386.05,21,100.40
1,M,craftsman,4396.53,45,100.99
1,M,unemployed,287.88,63,90.00
1,M,farmer,1521.13,26,99.90
1,F,unemployed,221.01,47,90.00
1,M,child,0.00,5,100.00
1,M,craftsman,4338.52,45,100.98
1,M,farmer,2190.49,41,100.31
1,M,child,0.00,7,100.00
1,F,homemaker,242.64,51,100.00
1,F,craftsman,5520.82,56,101.19
1,F,homemaker,197.14,40,100.00
1,M,child,0.00,8,100.00
1,F,craftsman,6241.75,64,101.30
1,M,fisher,2764.49,51,100.55
1,M,civil servant,3141.09,23,100.68
1,X,homemaker,145.52,28,100.00
1,F,farmer,1418.87,25,99.81
1,F,farmer,1764.52,33,100.08
1,F,fisher,1359.77,23,99.75
1,F,service provider,7021.29,56,101.40
1,F,homemaker,260.68,54,100.00
1,M,child,0.00,7,100.00
1,M,homemaker,288.84,63,100.00
1,M,homemaker,202.11,42,100.00
1,M,unemployed,256.57,54,90.00
1,M,civil servant,5550.88,46,101.20
1,F,homemaker,149.14,29,100.00
1,F,service provider,6046.55,48,101.27
1,M,fisher,3299.07,63,100.72
1,F,fisher,1153.98,18,99.52
1,M,craftsman,5216.80,53,101.14
1,F,farmer,1876.94,35,100.15
1,M,homemaker,159.68,32,100.00
1,M,fisher,1682.78,29,100.02
1,M,service provider,6032.62,48,101.27
1,F,service provider,2675.59,18,100.52
1,M,farmer,2838.29,56,100.58
1,F,homemaker,263.21,54,100.00
1,F,child,0.00,6,100.00
1,M,service provider,7051.46,58,101.40
1,M,child,0.00,16,100.00
1,X,civil servant,4094.10,31,100.92
1,F,fisher,2041.40,40,100.24
1,M,farmer,1466.06,25,99.85
1,M,child,0.00,2,100.00
1,M,unemployed,265.83,56,90.00
1,F,child,0.00,12,100.00
1,F,child,0.00,14,100.00
1,M,homemaker,241.13,52,100.00
1,M,service provider,3199.54,23,100.69
1,M,homemaker,257.90,58,100.00
1,X,homemaker,229.75,46,100.00
1,F,civil servant,2573.90,18,100.48
1,X,child,0.00,1,100.00
1,F,fisher,3239.41,62,100.70
1,M,child,0.00,6,100.00
1,F,unemployed,233.81,47,90.00
1,F,civil servant,4120.08,32,100.93
1,F,craftsman,4716.83,50,101.05
1,M,civil servant,5452.44,45,101.18
1,F,craftsman,4249.21,42,100.96
1,M,homemaker,159.87,32,100.00
1,M,homemaker,246.65,52,100.00
1,M,child,0.00,7,100.00
1,F,child,0.00,15,100.00
1,F,civil servant,5629.27,45,101.21
1,M,fisher,1187.15,20,99.56
1,F,unemployed,183.09,38,90.00
1,M,craftsman,3350.53,31,100.74
1,F,unemployed,173.87,35,90.00
1,F,fisher,1568.16,28,99.94
1,M,farmer,2511.51,49,100.45
1,F,farmer,1226.03,22,99.61
1,F,farmer,2315.31,46,100.37
1,M,craftsman,2196.96,18,100.32
1,F,child,0.00,17,100.00
1,F,child,0.00,8,100.00
1,F,child,0.00,13,100.00
1,F,child,0.00,8,100.00
1,M,farmer,1822.96,35,100.11
1,M,homemaker,246.58,50,100.00
1,M,child,0.00,13,100.00
1,F,child,0.00,15,100.00
1,F,farmer,1692.42,32,100.03
1,F,unemployed,223.38,48,90.00
1,M,homemaker,294.42,64,100.00
1,M,homemaker,167.29,35,100.00
1,F,fisher,1144.85,19,99.51
1,F,child,0.00,7,100.00
1,M,child,0.00,13,100.00
1,F,child,0.00,15,100.00
1,M,child,0.00,12,100.00
1,F,child,0.00,1,100.00
1,F,civil servant,4470.17,35,101.00
1,M,craftsman,2141.32,18,100.29
1,M,service provider,7550.11,64,101.46
1,F,fisher,1903.75,36,100.16
1,M,farmer,2485.41,46,100.44
1,F,child,0.00,9,100.00
1,M,service provider,6648.73,57,101.35
1,M,service provider,4293.81,32,100.97
1,F,farmer,2968.82,57,100.62
1,F,unemployed,188.39,38,90.00
1,M,fisher,1651.17,31,100.00
1,M,civil servant,4001.73,29,100.90
1,X,child,0.00,12,100.00
1,F,child,0.00,4,100.00
1,M,homemaker,279.88,62,100.00
1,F,civil servant,4013.87,32,100.91
1,M,homemaker,244.59,54,100.00
1,M,service provider,3617.26,27,100.81
1,M,child,0.00,5,100.00
1,F,homemaker,206.94,41,100.00
1,M,child,0.00,4,100.00
1,M,child,0.00,10,100.00
1,M,fisher,1936.02,37,100.18
1,F,fisher,1182.28,20,99.56
1,M,retired,290.53,65,100.00
1,F,child,0.00,8,100.00
1,F,service provider,6226.69,50,101.30
1,M,civil servant,4999.88,40,101.10
1,M,homemaker,233.16,52,100.00
1,F,child,0.00,15,100.00
1,M,craftsman,3570.06,34,100.80
1,M,civil servant,3808.78,30,100.86
1,F,craftsman,3111.40,29,100.67
1,F,civil servant,6728.62,56,101.36
1,M,retired,306.14,65,100.00
1,F,unemployed,105.32,20,90.00
1,F,craftsman,4260.17,41,100.96
1,M,homemaker,199.59,40,100.00
1,M,civil servant,5766.02,49,101.23
1,M,farmer,3033.75,62,100.64
1,M,child,0.00,14,100.00
1,M,child,0.00,14,100.00
1,F,fisher,2354.66,43,100.39
1,F,child,0.00,11,100.00
1,X,child,0.00,12,100.00
1,M,child,0.00,5,100.00
1,M,child,0.00,1,100.00
1,M,fisher,1609.68,30,99.97
1,F,craftsman,3907.40,39,100.88
1,M,craftsman,2180.07,19,100.31
1,M,child,0.00,16,100.00
1,M,farmer,2353.35,46,100.39
1,M,civil servant,5904.50,46,101.25
1,M,farmer,1666.31,30,100.01
1,M,homemaker,217.88,45,100.00
1,F,homemaker,285.72,61,100.00
1,M,homemaker,247.40,52,100.00
1,F,unemployed,199.59,41,90.00
1,F,farmer,2235.69,43,100.33
1,M,craftsman,6147.88,61,101.29
1,X,service provider,3749.88,28,100.84
1,F,farmer,2003.50,36,100.22
1,X,craftsman,4423.32,43,100.99
1,F,fisher,3003.85,60,100.63
1,F,farmer,2816.99,54,100.57
1,M,child,0.00,5,100.00
1,F,child,0.00,11,100.00
1,M,fisher,1144.05,20,99.51
1,M,fisher,2457.68,49,100.43
1,M,farmer,1913.34,37,100.17
1,M,civil servant,2657.88,19,100.51
1,X,child,0.00,9,100.00
1,M,fisher,2288.91,45,100.36
1,F,homemaker,223.39,46,100.00
1,M,farmer,3162.99,62,100.68
1,M,farmer,1787.39,33,100.09
1,F,service provider,4105.32,33,100.93
1,X,child,0.00,6,100.00
1,F,child,0.00,3,100.00
1,F,farmer,1596.11,29,99.96
1,M,homemaker,109.22,21,100.00
1,M,child,0.00,17,100.00
1,X,child,0.00,6,100.00
1,F,craftsman,6204.22,63,101.29
1,F,service provider,6823.09,55,101.38
1,F,craftsman,3943.70,38,100.89
1,M,craftsman,6333.45,62,101.31
1,F,retired,301.65,65,100.00
1,F,unemployed,210.42,44,90.00
1,F,farmer,1079.60,18,99.42
1,M,child,0.00,3,100.00
1,X,service provider,6110.34,50,101.28
1,M,unemployed,148.39,31,90.00
1,M,farmer,2238.21,43,100.34
1,F,farmer,2915.60,60,100.60
1,F,child,0.00,12,100.00
1,M,fisher,2007.27,39,100.22
1,M,craftsman,4378.48,42,100.98
1,F,homemaker,166.98,32,100.00
1,M,child,0.00,6,100.00
1,F,civil servant,3154.91,23,100.68
1,F,craftsman,2456.21,22,100.43
1,M,service provider,5577.75,44,101.20
1,F,homemaker,259.49,56,100.00
1,F,craftsman,2540.97,22,100.47
1,F,homemaker,218.90,46,100.00
1,M,homemaker,99.90,19,100.00
1,F,homemaker,273.76,62,100.00
1,M,farmer,2809.78,53,100.57
1,M,craftsman,3631.41,36,100.81
1,F,service provider,3839.23,30,100.86
1,M,farmer,1245.09,21,99.63
1,M,service provider,2941.60,22,100.61
1,F,fisher,3239.31,64,100.70
1,M,service provider,3682.95,27,100.83
1,M,homemaker,172.55,34,100.00
1,X,retired,301.49,65,100.00
1,X,unemployed,198.40,43,90.00
1,M,civil servant,4414.35,36,100.99
1,M,farmer,1563.13,27,99.93
