year,sex,profession,income,ethnicity
0,M,fisher,1854.88,arcadian
0,F,fisher,1174.39,atlantean
0,M,civil servant,7614.21,arcadian
0,F,child,0.00,arcadian
0,F,service provider,5869.60,arcadian
0,M,civil servant,4784.20,atlantean
0,M,homemaker,249.17,arcadian
0,F,child,0.00,arcadian
0,M,craftsman,3287.82,atlantean
0,M,civil servant,3818.51,atlantean
0,F,craftsman,2930.53,atlantean
0,F,civil servant,6904.99,atlantean
0,M,fisher,3328.51,atlantean
0,F,unemployed,102.37,atlantean
0,F,craftsman,4105.77,atlantean
0,M,homemaker,192.63,arcadian
0,M,civil servant,5813.00,atlantean
0,M,farmer,3051.06,arcadian
0,M,child,0.00,arcadian
0,M,child,0.00,arcadian
0,F,fisher,2144.09,hyperborean
0,F,child,0.00,hyperborean
0,X,child,0.00,atlantean
0,M,child,0.00,hyperborean
0,M,child,0.00,atlantean
0,M,fisher,1640.77,atlantean
0,F,craftsman,3778.80,hyperborean
0,M,craftsman,2058.11,hyperborean
0,M,child,0.00,arcadian
0,M,farmer,2260.05,arcadian
0,M,civil servant,5837.83,arcadian
0,M,farmer,1676.21,arcadian
0,M,homemaker,219.31,atlantean
0,F,homemaker,282.24,atlantean
0,M,homemaker,238.68,atlantean
0,F,unemployed,193.53,hyperborean
0,F,farmer,2328.41,arcadian
0,M,craftsman,6111.66,hyperborean
0,X,service provider,3657.36,hyperborean
0,F,farmer,1949.93,atlantean
0,X,craftsman,4167.74,hyperborean
0,F,fisher,2993.89,atlantean
0,F,farmer,2642.24,arcadian
0,M,child,0.00,arcadian
0,F,child,0.00,arcadian
0,M,fisher,1132.64,atlantean
0,M,fisher,2567.97,atlantean
0,M,farmer,1937.41,atlantean
0,M,civil servant,2690.83,atlantean
0,X,child,0.00,arcadian
0,M,fisher,2270.85,atlantean
0,F,homemaker,219.35,arcadian
0,M,farmer,3207.95,hyperborean
0,M,farmer,1828.12,atlantean
0,F,service provider,4174.82,arcadian
0,X,child,0.00,hyperborean
0,F,child,0.00,hyperborean
0,F,farmer,1641.44,atlantean
0,M,homemaker,109.13,atlantean
0,M,child,0.00,atlantean
0,X,child,0.00,arcadian
0,F,craftsman,5811.20,hyperborean
0,F,service provider,6413.70,arcadian
0,F,craftsman,3685.20,atlantean
0,M,craftsman,6029.73,hyperborean
0,F,fisher,3390.55,arcadian
0,F,unemployed,213.55,hyperborean
0,F,child,0.00,hyperborean
0,M,child,0.00,arcadian
0,X,service provider,5784.05,hyperborean
0,M,unemployed,154.46,arcadian
0,M,farmer,2154.59,arcadian
0,F,farmer,2949.24,arcadian
0,F,child,0.00,hyperborean
0,M,fisher,2071.53,arcadian
0,M,craftsman,4198.09,atlantean
0,F,homemaker,161.12,atlantean
0,M,child,0.00,arcadian
0,F,civil servant,2947.68,atlantean
0,F,craftsman,2430.06,atlantean
0,M,service provider,5486.32,atlantean
0,F,homemaker,258.96,arcadian
0,F,craftsman,2363.21,atlantean
0,F,homemaker,222.83,arcadian
0,M,homemaker,98.33,atlantean
0,F,homemaker,295.91,hyperborean
0,M,farmer,2561.04,atlantean
0,M,craftsman,3777.36,hyperborean
0,F,service provider,3993.40,hyperborean
0,M,farmer,1147.94,arcadian
0,M,service provider,3078.39,arcadian
0,F,fisher,3199.62,arcadian
0,M,service provider,3395.40,arcadian
0,M,homemaker,165.54,hyperborean
0,X,craftsman,6027.12,hyperborean
0,X,unemployed,210.52,arcadian
0,M,civil servant,4504.19,hyperborean
0,M,farmer,1515.09,arcadian
0,M,child,0.00,atlantean
0,F,unemployed,119.83,arcadian
0,F,farmer,2559.65,atlantean
0,F,homemaker,190.89,atlantean
0,M,farmer,2490.24,atlantean
0,M,child,0.00,hyperborean
0,F,unemployed,172.56,atlantean
0,F,homemaker,278.65,arcadian
0,F,farmer,1505.14,arcadian
0,X,service provider,5856.16,atlantean
0,F,child,0.00,atlantean
0,M,service provider,7555.60,arcadian
0,F,fisher,2153.74,arcadian
0,M,child,0.00,arcadian
0,F,child,0.00,atlantean
0,F,farmer,1974.29,arcadian
0,M,farmer,1871.23,atlantean
0,M,child,0.00,arcadian
0,M,craftsman,6157.18,atlantean
0,F,craftsman,5799.87,arcadian
0,M,civil servant,3710.63,hyperborean
0,F,child,0.00,arcadian
0,F,service provider,6349.89,atlantean
0,M,farmer,1713.33,atlantean
0,F,civil servant,5945.59,arcadian
0,M,fisher,1816.39,atlantean
0,F,child,0.00,arcadian
0,F,unemployed,251.10,arcadian
0,F,homemaker,281.36,hyperborean
0,M,child,0.00,hyperborean
0,M,fisher,1863.49,atlantean
0,M,farmer,1364.26,arcadian
0,M,homemaker,283.62,atlantean
0,F,service provider,4259.28,atlantean
0,F,homemaker,270.07,hyperborean
0,M,farmer,2931.94,arcadian
0,F,child,0.00,arcadian
0,F,homemaker,234.59,arcadian
0,M,craftsman,2905.42,hyperborean
0,M,civil servant,7584.88,atlantean
0,M,unemployed,166.15,arcadian
0,F,service provider,6466.25,hyperborean
0,F,homemaker,96.68,hyperborean
0,F,homemaker,107.33,arcadian
0,F,civil servant,4653.59,hyperborean
0,F,fisher,3324.86,arcadian
0,M,craftsman,3257.89,arcadian
0,M,child,0.00,arcadian
0,M,unemployed,179.53,arcadian
0,F,homemaker,117.51,arcadian
0,F,homemaker,174.78,arcadian
0,F,service provider,4283.13,arcadian
0,F,homemaker,139.96,atlantean
0,M,service provider,2919.09,atlantean
0,M,child,0.00,hyperborean
0,M,farmer,2469.06,arcadian
0,F,civil servant,4781.22,atlantean
0,F,child,0.00,atlantean
0,M,civil servant,6302.74,atlantean
0,F,child,0.00,hyperborean
0,M,homemaker,225.67,atlantean
0,F,farmer,2444.80,hyperborean
0,F,civil servant,6190.85,hyperborean
0,X,fisher,1457.24,hyperborean
0,F,unemployed,196.25,atlantean
0,F,fisher,2739.87,atlantean
0,M,fisher,3165.73,hyperborean
0,F,farmer,1776.00,atlantean
0,M,child,0.00,arcadian
0,F,fisher,1784.59,atlantean
0,F,civil servant,4868.84,hyperborean
0,F,craftsman,5486.51,hyperborean
0,F,homemaker,261.38,hyperborean
0,M,unemployed,135.52,atlantean
0,F,homemaker,168.95,arcadian
0,M,homemaker,139.64,arcadian
0,F,fisher,2417.73,arcadian
0,F,fisher,1441.25,atlantean
0,M,farmer,2329.57,arcadian
0,F,child,0.00,atlantean
0,M,farmer,1581.47,arcadian
0,M,civil servant,7701.95,arcadian
0,F,service provider,3095.50,arcadian
0,M,farmer,2436.20,atlantean
0,M,farmer,2314.51,hyperborean
0,M,unemployed,247.33,arcadian
0,M,craftsman,5188.13,hyperborean
0,F,farmer,2732.49,arcadian
0,X,homemaker,121.66,hyperborean
0,M,homemaker,108.80,hyperborean
0,F,civil servant,5877.48,arcadian
0,M,civil servant,5889.49,atlantean
0,X,civil servant,6734.10,arcadian
0,F,child,0.00,arcadian
0,F,child,0.00,hyperborean
0,M,farmer,2148.96,hyperborean
0,X,craftsman,5709.67,hyperborean
0,M,service provider,7739.34,atlantean
0,X,fisher,2627.02,atlantean
0,M,unemployed,138.65,arcadian
0,M,child,0.00,hyperborean
0,M,farmer,2216.65,arcadian
0,F,fisher,2978.86,atlantean
0,M,craftsman,3039.64,hyperborean
0,F,homemaker,222.59,hyperborean
0,F,farmer,3049.50,atlantean
0,M,child,0.00,hyperborean
0,F,farmer,2537.17,atlantean
0,M,unemployed,103.00,hyperborean
0,F,homemaker,126.19,atlantean
0,M,child,0.00,arcadian
0,F,craftsman,3373.11,hyperborean
0,F,fisher,1847.26,atlantean
0,F,civil servant,6045.64,arcadian
0,F,child,0.00,atlantean
0,F,child,0.00,atlantean
0,M,farmer,2878.68,atlantean
0,M,unemployed,192.34,arcadian
0,F,child,0.00,atlantean
0,M,homemaker,282.27,hyperborean
0,M,child,0.00,arcadian
0,F,unemployed,147.78,atlantean
0,F,child,0.00,hyperborean
0,M,child,0.00,hyperborean
0,M,child,0.00,arcadian
0,M,homemaker,253.44,hyperborean
0,M,fisher,2852.07,atlantean
0,M,fisher,2323.55,atlantean
0,M,child,0.00,hyperborean
0,M,homemaker,136.03,arcadian
0,F,farmer,1250.09,atlantean
0,F,craftsman,4030.33,arcadian
0,F,farmer,2260.95,arcadian
0,F,craftsman,2897.14,atlantean
0,M,child,0.00,atlantean
0,F,fisher,2658.82,atlantean
0,M,child,0.00,hyperborean
0,M,service provider,3230.83,arcadian
0,M,unemployed,161.93,arcadian
0,F,child,0.00,arcadian
0,F,civil servant,4889.89,atlantean
0,M,fisher,2002.00,atlantean
0,M,civil servant,7330.19,atlantean
0,M,service provider,2826.86,atlantean
0,M,farmer,3146.90,arcadian
0,F,civil servant,5497.84,hyperborean
0,F,child,0.00,arcadian
0,M,service provider,4631.45,atlantean
0,M,civil servant,5614.75,hyperborean
0,F,fisher,2557.52,arcadian
0,F,child,0.00,atlantean
0,M,craftsman,3936.15,arcadian
0,F,homemaker,152.82,atlantean
0,F,fisher,2872.01,atlantean
0,F,homemaker,97.40,arcadian
0,M,fisher,2733.19,arcadian
0,M,service provider,4868.83,atlantean
0,M,unemployed,121.66,arcadian
0,M,craftsman,4085.40,arcadian
0,M,unemployed,198.57,atlantean
0,F,homemaker,203.05,hyperborean
0,M,craftsman,4826.93,atlantean
0,M,farmer,2273.24,arcadian
0,F,unemployed,253.21,arcadian
0,M,craftsman,4258.82,hyperborean
0,F,civil servant,6711.98,arcadian
0,F,unemployed,200.86,arcadian
0,M,fisher,1234.04,arcadian
0,F,service provider,3647.30,arcadian
0,M,service provider,4828.62,hyperborean
0,F,homemaker,233.57,atlantean
0,F,child,0.00,atlantean
0,M,unemployed,103.18,hyperborean
0,M,unemployed,233.89,atlantean
0,M,child,0.00,arcadian
0,F,child,0.00,arcadian
0,F,farmer,1806.57,hyperborean
0,M,homemaker,284.88,arcadian
0,M,fisher,1940.01,atlantean
0,F,unemployed,274.21,atlantean
0,M,unemployed,245.35,arcadian
0,F,child,0.00,hyperborean
0,F,farmer,2859.10,atlantean
0,X,craftsman,3239.47,hyperborean
0,F,unemployed,249.08,arcadian
0,F,unemployed,231.32,arcadian
0,F,unemployed,112.17,arcadian
0,F,child,0.00,hyperborean
0,F,homemaker,290.64,atlantean
0,F,child,0.00,hyperborean
0,F,fisher,3253.75,arcadian
0,F,service provider,6836.26,atlantean
0,F,fisher,2354.73,atlantean
0,F,unemployed,281.41,atlantean
0,M,fisher,3226.46,atlantean
0,M,unemployed,247.96,hyperborean
0,M,service provider,3228.76,arcadian
0,F,craftsman,4956.38,hyperborean
0,F,child,0.00,arcadian
0,F,unemployed,161.47,atlantean
0,F,homemaker,139.54,hyperborean
0,M,craftsman,4250.94,atlantean
0,M,farmer,2238.41,arcadian
0,M,farmer,1943.56,hyperborean
0,M,farmer,2637.67,hyperborean
0,M,craftsman,5756.78,atlantean
0,F,child,0.00,atlantean
0,M,child,0.00,arcadian
0,M,child,0.00,hyperborean
0,F,farmer,2910.57,arcadian
0,F,farmer,1953.19,hyperborean
0,M,homemaker,271.94,arcadian
0,M,child,0.00,hyperborean
0,F,child,0.00,arcadian
0,M,homemaker,237.14,arcadian
0,M,service provider,7031.92,hyperborean
0,M,homemaker,100.01,arcadian
0,F,farmer,1488.92,hyperborean
0,F,child,0.00,arcadian
0,F,homemaker,278.01,atlantean
0,F,homemaker,103.06,arcadian
0,F,homemaker,156.25,hyperborean
0,M,child,0.00,arcadian
0,M,service provider,6837.31,atlantean
0,M,child,0.00,atlantean
0,F,fisher,1547.83,arcadian
0,F,civil servant,5581.21,atlantean
0,F,farmer,2605.73,arcadian
0,M,farmer,3261.61,arcadian
0,F,farmer,1532.22,arcadian
0,F,farmer,2421.51,arcadian
0,F,child,0.00,atlantean
0,M,craftsman,2781.32,hyperborean
0,M,child,0.00,arcadian
0,M,craftsman,3143.90,hyperborean
0,M,homemaker,131.38,atlantean
0,M,unemployed,282.78,hyperborean
0,F,child,0.00,hyperborean
0,M,farmer,1320.54,atlantean
0,M,homemaker,141.62,arcadian
0,M,fisher,3088.21,arcadian
0,M,civil servant,6683.06,hyperborean
1,F,civil servant,4927.02,atlantean
1,M,child,0.00,arcadian
1,M,unemployed,130.71,arcadian
1,M,farmer,1938.95,hyperborean
1,F,child,0.00,arcadian
1,F,civil servant,5321.03,arcadian
1,F,child,0.00,atlantean
1,M,homemaker,156.78,atlantean
1,M,child,0.00,hyperborean
1,M,fisher,1384.19,arcadian
1,M,child,0.00,arcadian
1,F,fisher,1236.64,arcadian
1,M,homemaker,231.56,arcadian
1,M,farmer,1491.74,atlantean
1,F,craftsman,4788.50,hyperborean
1,F,service provider,6774.07,atlantean
1,M,child,0.00,atlantean
1,F,child,0.00,arcadian
1,F,child,0.00,atlantean
1,M,civil servant,4731.11,hyperborean
1,F,retired,294.89,atlantean
1,F,unemployed,119.27,atlantean
1,M,craftsman,4470.77,hyperborean
1,M,homemaker,249.07,atlantean
1,F,service provider,5620.42,atlantean
1,M,service provider,5916.99,hyperborean
1,M,farmer,3102.91,atlantean
1,M,child,0.00,hyperborean
1,F,child,0.00,atlantean
1,F,child,0.00,atlantean
1,F,child,0.00,atlantean
1,F,civil servant,5721.55,atlantean
1,F,farmer,1929.85,arcadian
1,X,child,0.00,atlantean
1,M,fisher,2365.84,atlantean
1,F,homemaker,247.14,hyperborean
1,F,child,0.00,atlantean
1,F,craftsman,4256.54,atlantean
1,F,farmer,2497.86,atlantean
1,F,child,0.00,atlantean
1,F,service provider,6711.32,arcadian
1,M,farmer,3203.50,arcadian
1,M,child,0.00,arcadian
1,M,child,0.00,arcadian
1,M,craftsman,2386.05,hyperborean
1,M,craftsman,4396.53,arcadian
1,M,unemployed,287.88,atlantean
1,M,farmer,1521.13,arcadian
1,F,unemployed,221.01,hyperborean
1,M,child,0.00,atlantean
1,M,craftsman,4338.52,hyperborean
1,M,farmer,2190.49,hyperborean
1,M,child,0.00,arcadian
1,F,homemaker,242.64,arcadian
1,F,craftsman,5520.82,hyperborean
1,F,homemaker,197.14,atlantean
1,M,child,0.00,arcadian
1,F,craftsman,6241.75,arcadian
1,M,fisher,2764.49,arcadian
1,M,civil servant,3141.09,arcadian
1,X,homemaker,145.52,hyperborean
1,F,farmer,1418.87,atlantean
1,F,farmer,1764.52,atlantean
1,F,fisher,1359.77,arcadian
1,F,service provider,7021.29,atlantean
1,F,homemaker,260.68,atlantean
1,M,child,0.00,arcadian
1,M,homemaker,288.84,arcadian
1,M,homemaker,202.11,atlantean
1,M,unemployed,256.57,hyperborean
1,M,civil servant,5550.88,arcadian
1,F,homemaker,149.14,arcadian
1,F,service provider,6046.55,arcadian
1,M,fisher,3299.07,atlantean
1,F,fisher,1153.98,arcadian
1,M,craftsman,5216.80,hyperborean
1,F,farmer,1876.94,arcadian
1,M,homemaker,159.68,hyperborean
1,M,fisher,1682.78,arcadian
1,M,service provider,6032.62,atlantean
1,F,service provider,2675.59,arcadian
1,M,farmer,2838.29,atlantean
1,F,homemaker,263.21,atlantean
1,F,child,0.00,arcadian
1,M,service provider,7051.46,arcadian
1,M,child,0.00,atlantean
1,X,civil servant,4094.10,arcadian
1,F,fisher,2041.40,arcadian
1,M,farmer,1466.06,arcadian
1,M,child,0.00,atlantean
1,M,unemployed,265.83,hyperborean
1,F,child,0.00,atlantean
1,F,child,0.00,hyperborean
1,M,homemaker,241.13,atlantean
1,M,service provider,3199.54,atlantean
1,M,homemaker,257.90,arcadian
1,X,homemaker,229.75,hyperborean
1,F,civil servant,2573.90,arcadian
1,X,child,0.00,arcadian
1,F,fisher,3239.41,arcadian
1,M,child,0.00,atlantean
1,F,unemployed,233.81,atlantean
1,F,civil servant,4120.08,arcadian
1,F,craftsman,4716.83,arcadian
1,M,civil servant,5452.44,hyperborean
1,F,craftsman,4249.21,hyperborean
1,M,homemaker,159.87,arcadian
1,M,homemaker,246.65,hyperborean
1,M,child,0.00,arcadian
1,F,child,0.00,arcadian
1,F,civil servant,5629.27,arcadian
1,M,fisher,1187.15,atlantean
1,F,unemployed,183.09,arcadian
1,M,craftsman,3350.53,atlantean
1,F,unemployed,173.87,atlantean
1,F,fisher,1568.16,hyperborean
1,M,farmer,2511.51,arcadian
1,F,farmer,1226.03,hyperborean
1,F,farmer,2315.31,arcadian
1,M,craftsman,2196.96,hyperborean
1,F,child,0.00,hyperborean
1,F,child,0.00,hyperborean
1,F,child,0.00,hyperborean
1,F,child,0.00,arcadian
1,M,farmer,1822.96,arcadian
1,M,homemaker,246.58,atlantean
1,M,child,0.00,hyperborean
1,F,child,0.00,hyperborean
1,F,farmer,1692.42,atlantean
1,F,unemployed,223.38,atlantean
1,M,homemaker,294.42,arcadian
1,M,homemaker,167.29,atlantean
1,F,fisher,1144.85,atlantean
1,F,child,0.00,atlantean
1,M,child,0.00,hyperborean
1,F,child,0.00,arcadian
1,M,child,0.00,arcadian
1,F,child,0.00,atlantean
1,F,civil servant,4470.17,arcadian
1,M,craftsman,2141.32,atlantean
1,M,service provider,7550.11,arcadian
1,F,fisher,1903.75,atlantean
1,M,farmer,2485.41,arcadian
1,F,child,0.00,atlantean
1,M,service provider,6648.73,arcadian
1,M,service provider,4293.81,arcadian
1,F,farmer,2968.82,hyperborean
1,F,unemployed,188.39,arcadian
1,M,fisher,1651.17,atlantean
1,M,civil servant,4001.73,atlantean
1,X,child,0.00,atlantean
1,F,child,0.00,arcadian
1,M,homemaker,279.88,arcadian
1,F,civil servant,4013.87,atlantean
1,M,homemaker,244.59,arcadian
1,M,service provider,3617.26,arcadian
1,M,child,0.00,arcadian
1,F,homemaker,206.94,atlantean
1,M,child,0.00,hyperborean
1,M,child,0.00,atlantean
1,M,fisher,1936.02,arcadian
1,F,fisher,1182.28,atlantean
1,M,retired,290.53,arcadian
1,F,child,0.00,arcadian
1,F,service provider,6226.69,arcadian
1,M,civil servant,4999.88,atlantean
1,M,homemaker,233.16,arcadian
1,F,child,0.00,arcadian
1,M,craftsman,3570.06,atlantean
1,M,civil servant,3808.78,atlantean
1,F,craftsman,3111.40,atlantean
1,F,civil servant,6728.62,atlantean
1,M,retired,306.14,atlantean
1,F,unemployed,105.32,atlantean
1,F,craftsman,4260.17,atlantean
1,M,homemaker,199.59,arcadian
1,M,civil servant,5766.02,atlantean
1,M,farmer,3033.75,arcadian
1,M,child,0.00,arcadian
1,M,child,0.00,arcadian
1,F,fisher,2354.66,hyperborean
1,F,child,0.00,hyperborean
1,X,child,0.00,atlantean
1,M,child,0.00,hyperborean
1,M,child,0.00,atlantean
1,M,fisher,1609.68,atlantean
1,F,craftsman,3907.40,hyperborean
1,M,craftsman,2180.07,hyperborean
1,M,child,0.00,arcadian
1,M,farmer,2353.35,arcadian
1,M,civil servant,5904.50,arcadian
1,M,farmer,1666.31,arcadian
1,M,homemaker,217.88,atlantean
1,F,homemaker,285.72,atlantean
1,M,homemaker,247.40,atlantean
1,F,unemployed,199.59,hyperborean
1,F,farmer,2235.69,arcadian
1,M,craftsman,6147.88,hyperborean
1,X,service provider,3749.88,hyperborean
1,F,farmer,2003.50,atlantean
1,X,craftsman,4423.32,hyperborean
1,F,fisher,3003.85,atlantean
1,F,farmer,2816.99,arcadian
1,M,child,0.00,arcadian
1,F,child,0.00,arcadian
1,M,fisher,1144.05,atlantean
1,M,fisher,2457.68,atlantean
1,M,farmer,1913.34,atlantean
1,M,civil servant,2657.88,atlantean
1,X,child,0.00,arcadian
1,M,fisher,2288.91,atlantean
1,F,homemaker,223.39,arcadian
1,M,farmer,3162.99,hyperborean
1,M,farmer,1787.39,atlantean
1,F,service provider,4105.32,arcadian
1,X,child,0.00,hyperborean
1,F,child,0.00,hyperborean
1,F,farmer,1596.11,atlantean
1,M,homemaker,109.22,atlantean
1,M,child,0.00,atlantean
1,X,child,0.00,arcadian
1,F,craftsman,6204.22,hyperborean
1,F,service provider,6823.09,arcadian
1,F,craftsman,3943.70,atlantean
1,M,craftsman,6333.45,hyperborean
1,F,retired,301.65,arcadian
1,F,unemployed,210.42,hyperborean
1,F,farmer,1079.60,hyperborean
1,M,child,0.00,arcadian
1,X,service provider,6110.34,hyperborean
1,M,unemployed,148.39,arcadian
1,M,farmer,2238.21,arcadian
1,F,farmer,2915.60,arcadian
1,F,child,0.00,hyperborean
1,M,fisher,2007.27,arcadian
1,M,craftsman,4378.48,atlantean
1,F,homemaker,166.98,atlantean
1,M,child,0.00,arcadian
1,F,civil servant,3154.91,atlantean
1,F,craftsman,2456.21,atlantean
1,M,service provider,5577.75,atlantean
1,F,homemaker,259.49,arcadian
1,F,craftsman,2540.97,atlantean
1,F,homemaker,218.90,arcadian
1,M,homemaker,99.90,atlantean
1,F,homemaker,273.76,hyperborean
1,M,farmer,2809.78,atlantean
1,M,craftsman,3631.41,hyperborean
1,F,service provider,3839.23,hyperborean
1,M,farmer,1245.09,arcadian
1,M,service provider,2941.60,arcadian
1,F,fisher,3239.31,arcadian
1,M,service provider,3682.95,arcadian
1,M,homemaker,172.55,hyperborean
1,X,retired,301.49,hyperborean
1,X,unemployed,198.40,arcadian
1,M,civil servant,4414.35,hyperborean
1,M,farmer,1563.13,arcadian
1,M,child,0.00,atlantean
1,F,unemployed,129.59,arcadian
1,F,farmer,2563.28,atlantean
1,F,homemaker,204.26,atlantean
1,M,farmer,2478.79,atlantean
1,M,child,0.00,hyperborean
1,F,unemployed,180.46,atlantean
1,F,homemaker,284.29,arcadian
1,F,farmer,1693.99,arcadian
1,X,service provider,5471.33,atlantean
1,F,child,0.00,atlantean
1,M,service provider,7943.17,arcadian
1,F,fisher,2183.32,arcadian
1,M,child,0.00,arcadian
1,F,child,0.00,atlantean
1,F,farmer,1903.26,arcadian
1,M,farmer,2039.55,atlantean
1,M,child,0.00,arcadian
1,M,retired,298.49,atlantean
1,F,craftsman,5764.56,arcadian
1,M,civil servant,4052.06,hyperborean
1,F,child,0.00,arcadian
1,F,service provider,6652.83,atlantean
1,M,farmer,1891.15,atlantean
1,F,civil servant,5968.61,arcadian
1,M,fisher,1800.30,atlantean
1,F,homemaker,100.88,arcadian
1,F,unemployed,253.60,arcadian
1,F,homemaker,301.98,hyperborean
1,M,child,0.00,hyperborean
1,M,fisher,1968.34,atlantean
1,M,farmer,1379.97,arcadian
1,M,homemaker,268.67,atlantean
