year,sex,profession,income,net_worth
1,M,homemaker,167.29,9615.06
1,F,fisher,1144.85,10296.31
1,F,child,0.00,10000.00
1,M,child,0.00,10000.00
1,F,child,0.00,10000.00
1,M,child,0.00,10000.00
1,F,child,0.00,10000.00
1,F,civil servant,4470.17,11958.97
1,M,craftsman,2141.32,10794.54
1,M,service provider,7550.11,13498.94
1,F,fisher,1903.75,10675.76
1,M,farmer,2485.41,10966.59
1,F,child,0.00,10000.00
1,M,service provider,6648.73,13048.25
1,M,service provider,4293.81,11870.79
1,F,farmer,2968.82,11208.29
1,F,unemployed,188.39,9636.16
1,M,fisher,1651.17,10549.47
1,M,civil servant,4001.73,11724.75
1,X,child,0.00,10000.00
1,F,child,0.00,10000.00
1,M,homemaker,279.88,9727.65
1,F,civil servant,4013.87,11730.82
1,M,homemaker,244.59,9692.36
1,M,service provider,3617.26,11532.51
1,M,child,0.00,10000.00
1,F,homemaker,206.94,9654.71
1,M,child,0.00,10000.00
1,M,child,0.00,10000.00
1,M,fisher,1936.02,10691.89
1,F,fisher,1182.28,10315.02
1,M,retired,290.53,9738.30
1,F,child,0.00,10000.00
1,F,service provider,6226.69,12837.23
1,M,civil servant,4999.88,12223.82
1,M,homemaker,233.16,9680.93
1,F,child,0.00,10000.00
1,M,craftsman,3570.06,11508.91
1,M,civil servant,3808.78,11628.27
1,F,craftsman,3111.40,11279.58
1,F,civil servant,6728.62,13088.19
1,M,retired,306.14,9753.91
1,F,unemployed,105.32,9553.09
1,F,craftsman,4260.17,11853.97
1,M,homemaker,199.59,9647.36
1,M,civil servant,5766.02,12606.89
1,M,farmer,3033.75,11240.76
1,M,child,0.00,10000.00
1,M,child,0.00,10000.00
1,F,fisher,2354.66,10901.21
1,F,child,0.00,10000.00
1,X,child,0.00,10000.00
1,M,child,0.00,10000.00
1,M,child,0.00,10000.00
1,M,fisher,1609.68,10528.72
1,F,craftsman,3907.40,11677.58
1,M,craftsman,2180.07,10813.92
1,M,child,0.00,10000.00
1,M,farmer,2353.35,10900.56
1,M,civil servant,5904.50,12676.13
1,M,farmer,1666.31,10557.04
1,M,homemaker,217.88,9665.65
1,F,homemaker,285.72,9733.49
1,M,homemaker,247.40,9695.17
1,F,unemployed,199.59,9647.36
1,F,farmer,2235.69,10841.73
1,M,craftsman,6147.88,12797.82
1,X,service provider,3749.88,11598.82
1,F,farmer,2003.50,10725.63
1,X,craftsman,4423.32,11935.54
1,F,fisher,3003.85,11225.81
1,F,farmer,2816.99,11132.38
1,M,child,0.00,10000.00
1,F,child,0.00,10000.00
1,M,fisher,1144.05,10295.91
1,M,fisher,2457.68,10952.72
1,M,farmer,1913.34,10680.55
1,M,civil servant,2657.88,11052.82
1,X,child,0.00,10000.00
1,M,fisher,2288.91,10868.34
1,F,homemaker,223.39,9671.16
1,M,farmer,3162.99,11305.38
1,M,farmer,1787.39,10617.58
1,F,service provider,4105.32,11776.54
1,X,child,0.00,10000.00
1,F,child,0.00,10000.00
1,F,farmer,1596.11,10521.94
1,M,homemaker,109.22,9556.99
1,M,child,0.00,10000.00
1,X,child,0.00,10000.00
1,F,craftsman,6204.22,12825.99
1,F,service provider,6823.09,13135.43
1,F,craftsman,3943.70,11695.73
1,M,craftsman,6333.45,12890.61
1,F,retired,301.65,9749.42
1,F,unemployed,210.42,9658.19
1,F,farmer,1079.60,10263.68
1,M,child,0.00,10000.00
1,X,service provider,6110.34,12779.05
1,M,unemployed,148.39,9596.16
1,M,farmer,2238.21,10842.99
1,F,farmer,2915.60,11181.68
1,F,child,0.00,10000.00
1,M,fisher,2007.27,10727.52
1,M,craftsman,4378.48,11913.12
1,F,homemaker,166.98,9614.75
1,M,child,0.00,10000.00
1,F,civil servant,3154.91,11301.34
1,F,craftsman,2456.21,10951.99
1,M,service provider,5577.75,12512.76
1,F,homemaker,259.49,9707.26
1,F,craftsman,2540.97,10994.37
1,F,homemaker,218.90,9666.67
1,M,homemaker,99.90,9547.67
1,F,homemaker,273.76,9721.53
1,M,farmer,2809.78,11128.77
1,M,craftsman,3631.41,11539.59
1,F,service provider,3839.23,11643.50
1,M,farmer,1245.09,10346.43
1,M,service provider,2941.60,11194.68
1,F,fisher,3239.31,11343.54
1,M,service provider,3682.95,11565.36
1,M,homemaker,172.55,9620.32
1,X,retired,301.49,9749.26
1,X,unemployed,198.40,9646.17
1,M,civil servant,4414.35,11931.06
1,M,farmer,1563.13,10505.45
1,M,child,0.00,10000.00
1,F,unemployed,129.59,9577.36
1,F,farmer,2563.28,11005.52
1,F,homemaker,204.26,9652.03
1,M,farmer,2478.79,10963.28
1,M,child,0.00,10000.00
1,F,unemployed,180.46,9628.23
1,F,homemaker,284.29,9732.06
1,F,farmer,1693.99,10570.88
1,X,service provider,5471.33,12459.55
1,F,child,0.00,10000.00
1,M,service provider,7943.17,13695.47
1,F,fisher,2183.32,10815.54
1,M,child,0.00,10000.00
1,F,child,0.00,10000.00
1,F,farmer,1903.26,10675.51
1,M,farmer,2039.55,10743.66
1,M,child,0.00,10000.00
1,M,retired,298.49,9746.26
1,F,craftsman,5764.56,12606.16
1,M,civil servant,4052.06,11749.91
1,F,child,0.00,10000.00
1,F,service provider,6652.83,13050.30
1,M,farmer,1891.15,10669.46
1,F,civil servant,5968.61,12708.19
1,M,fisher,1800.30,10624.03
1,F,homemaker,100.88,9548.65
1,F,unemployed,253.60,9701.37
1,F,homemaker,301.98,9749.75
1,M,child,0.00,10000.00
1,M,fisher,1968.34,10708.05
1,M,farmer,1379.97,10413.87
1,M,homemaker,268.67,9716.44
1,F,service provider,4242.00,11844.88
1,F,homemaker,262.29,9710.06
1,M,farmer,2796.62,11122.19
1,F,farmer,1075.92,10261.84
1,F,homemaker,245.63,9693.40
1,M,craftsman,2853.04,11150.40
1,M,civil servant,7507.58,13477.67
1,M,unemployed,164.54,9612.31
1,F,service provider,6429.82,12938.79
1,F,homemaker,107.99,9555.76
